scope,analysis,group,variant,candidate_id,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate,average_holding_minutes,median_holding_minutes
T2,performance,ALL,BASELINE,T2_M5_candidate_v1,830,1.10572933392,0.061035668028,50.6596044632,-56.4226125007,0.897859957523,0.302409638554,DATA_UNAVAILABLE,DATA_UNAVAILABLE
T2,performance,ALL,SESSION_FILTER,T2_M5_session_candidate_v1,535,1.31571708924,0.173611399447,92.8820987044,-23.4212239618,3.9657235188,0.302803738318,DATA_UNAVAILABLE,DATA_UNAVAILABLE
T2,instrument,USDRUBF,BASELINE,DATA_UNAVAILABLE,456,1.33197387166,0.172814997093,78.8036386744,-26.1997927363,3.00779626264,0.328947368421,DATA_UNAVAILABLE,DATA_UNAVAILABLE
T2,instrument,CNYRUBF,BASELINE,DATA_UNAVAILABLE,374,0.88358940542,-0.075251428372,-28.1440342111,-52.9627934905,-0.5313925561,0.270053475936,DATA_UNAVAILABLE,DATA_UNAVAILABLE
T2,instrument,USDRUBF,SESSION_FILTER,DATA_UNAVAILABLE,302,1.57694259768,0.287304006692,86.7658100209,-15.9580057399,5.4371336516,0.32119205298,DATA_UNAVAILABLE,DATA_UNAVAILABLE
T2,instrument,CNYRUBF,SESSION_FILTER,DATA_UNAVAILABLE,233,1.04253179311,0.0262501660234,6.11628868346,-18.4152461172,0.33213179148,0.278969957082,DATA_UNAVAILABLE,DATA_UNAVAILABLE
T2,direction,LONG,BASELINE,DATA_UNAVAILABLE,470,1.16208246394,0.0890098182089,41.8346145582,-40.6634260435,1.02880201273,0.327659574468,DATA_UNAVAILABLE,DATA_UNAVAILABLE
T2,direction,SHORT,BASELINE,DATA_UNAVAILABLE,360,1.03992534359,0.0245138608473,8.82498990504,-60.1287002433,0.146768346386,0.269444444444,DATA_UNAVAILABLE,DATA_UNAVAILABLE
T2,direction,LONG,SESSION_FILTER,DATA_UNAVAILABLE,301,1.55029959165,0.276757308662,83.3039499073,-17.9522839045,4.64029815652,0.335548172757,DATA_UNAVAILABLE,DATA_UNAVAILABLE
T2,direction,SHORT,SESSION_FILTER,DATA_UNAVAILABLE,234,1.0670669149,0.0409322598165,9.57814879707,-32.7251355525,0.292684770754,0.260683760684,DATA_UNAVAILABLE,DATA_UNAVAILABLE
T2,weekday,Monday,BASELINE,DATA_UNAVAILABLE,157,1.21501937928,0.128958670634,20.2465112895,-17.0578840733,1.18692982099,0.312101910828,DATA_UNAVAILABLE,DATA_UNAVAILABLE
T2,weekday,Tuesday,BASELINE,DATA_UNAVAILABLE,146,0.774382556446,-0.144668852276,-21.1216524323,-43.9413847763,-0.480677897155,0.27397260274,DATA_UNAVAILABLE,DATA_UNAVAILABLE
T2,weekday,Wednesday,BASELINE,DATA_UNAVAILABLE,165,1.16841595798,0.0888649726315,14.6627204842,-25.1065709549,0.584019239845,0.30303030303,DATA_UNAVAILABLE,DATA_UNAVAILABLE
T2,weekday,Thursday,BASELINE,DATA_UNAVAILABLE,166,1.10054813654,0.0631764752068,10.4872948843,-22.6634170529,0.462741115334,0.301204819277,DATA_UNAVAILABLE,DATA_UNAVAILABLE
T2,weekday,Friday,BASELINE,DATA_UNAVAILABLE,194,1.26372624765,0.135062580288,26.2021405758,-15.3448778666,1.70754963341,0.314432989691,DATA_UNAVAILABLE,DATA_UNAVAILABLE
T2,weekday,Monday,SESSION_FILTER,DATA_UNAVAILABLE,99,1.40764315435,0.232185701378,22.9863844364,-11.0606502394,2.07821275775,0.313131313131,DATA_UNAVAILABLE,DATA_UNAVAILABLE
T2,weekday,Tuesday,SESSION_FILTER,DATA_UNAVAILABLE,93,0.975923988656,-0.0141948178846,-1.32011806327,-17.6858493599,-0.0746426160489,0.258064516129,DATA_UNAVAILABLE,DATA_UNAVAILABLE
T2,weekday,Wednesday,SESSION_FILTER,DATA_UNAVAILABLE,109,1.34544228217,0.176411793009,19.228885438,-19.8601987585,0.968212134824,0.311926605505,DATA_UNAVAILABLE,DATA_UNAVAILABLE
T2,weekday,Thursday,SESSION_FILTER,DATA_UNAVAILABLE,102,1.30444312427,0.185578604701,18.9290176795,-22.2252610295,0.851689330188,0.294117647059,DATA_UNAVAILABLE,DATA_UNAVAILABLE
T2,weekday,Friday,SESSION_FILTER,DATA_UNAVAILABLE,132,1.50753792932,0.25043885768,33.0579292138,-7.29173061725,4.53361910211,0.325757575758,DATA_UNAVAILABLE,DATA_UNAVAILABLE
T2,session,Session_A,BASELINE,DATA_UNAVAILABLE,45,1.34467706693,0.214075245639,9.63338605374,-19.0273690779,0.506291017655,0.311111111111,DATA_UNAVAILABLE,DATA_UNAVAILABLE
T2,session,Session_B,BASELINE,DATA_UNAVAILABLE,536,1.3128231923,0.17207760738,92.2335975556,-23.4212239618,3.93803490825,0.30223880597,DATA_UNAVAILABLE,DATA_UNAVAILABLE
T2,session,Session_C,BASELINE,DATA_UNAVAILABLE,249,0.672487974635,-0.205652125085,-51.2073791461,-64.6405433984,-0.792186705959,0.301204819277,DATA_UNAVAILABLE,DATA_UNAVAILABLE
T2,session,10:00-17:00,SESSION_FILTER,DATA_UNAVAILABLE,535,1.31571708924,0.173611399447,92.8820987044,-23.4212239618,3.9657235188,0.302803738318,DATA_UNAVAILABLE,DATA_UNAVAILABLE
T2,holding_time,ALL,BASELINE,DATA_UNAVAILABLE,830,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,121.120481928,50
T2,holding_time,WINNER,BASELINE,DATA_UNAVAILABLE,251,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,180.796812749,145
T2,holding_time,LOSER,BASELINE,DATA_UNAVAILABLE,579,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,95.2504317789,35
T2,holding_time,ALL,SESSION_FILTER,DATA_UNAVAILABLE,535,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,77.9252336449,50
T2,holding_time,WINNER,SESSION_FILTER,DATA_UNAVAILABLE,162,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,154.382716049,132.5
T2,holding_time,LOSER,SESSION_FILTER,DATA_UNAVAILABLE,373,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,44.7184986595,35
T3,performance,ALL,BASELINE,T3_M5_candidate_v1,1131,1.15749204634,0.0773919100962,87.5302503188,-42.8121622922,2.04451832452,0.374889478338,DATA_UNAVAILABLE,DATA_UNAVAILABLE
T3,performance,ALL,SESSION_FILTER,T3_M5_session_candidate_v1,814,1.28778699992,0.138922442491,113.082868188,-24.2580243788,4.66166850283,0.384520884521,DATA_UNAVAILABLE,DATA_UNAVAILABLE
T3,instrument,USDRUBF,BASELINE,DATA_UNAVAILABLE,604,1.36026628195,0.162185403288,97.9599835858,-24.9726410236,3.92269217714,0.402317880795,DATA_UNAVAILABLE,DATA_UNAVAILABLE
T3,instrument,CNYRUBF,BASELINE,DATA_UNAVAILABLE,527,0.963258218331,-0.0197907652126,-10.429733267,-31.5930828032,-0.330127114596,0.343453510436,DATA_UNAVAILABLE,DATA_UNAVAILABLE
T3,instrument,USDRUBF,SESSION_FILTER,DATA_UNAVAILABLE,435,1.53815872638,0.240095622752,104.441595897,-17.6691854422,5.91094571046,0.411494252874,DATA_UNAVAILABLE,DATA_UNAVAILABLE
