scope,start_date,end_date,trades,net_R,max_consecutive_losses,max_drawdown_R
COMBINED,2023-04-10,2024-11-25,681,1.62968972159,18,-56.4226125007
COMBINED,2023-02-17,2023-04-06,45,0.470221071057,9,-17.7560748148
COMBINED,2023-01-12,2023-02-10,34,2.46673900367,7,-12.6477514882
COMBINED,2024-12-12,2024-12-30,27,-2.39485550477,7,-8.46534626138
COMBINED,2024-11-26,2024-11-27,7,11.615149886,5,-4.23866204564
USDRUBF,2023-08-15,2024-05-21,179,1.71665405473,11,-26.1997927363
USDRUBF,2023-04-10,2023-08-01,67,1.40983466487,11,-18.8616084144
USDRUBF,2024-06-18,2024-11-22,101,9.55481795504,7,-13.5062309726
USDRUBF,2023-02-17,2023-04-03,29,4.46482015906,7,-10.2126532862
USDRUBF,2023-01-04,2023-02-08,15,1.31323356746,6,-5.95866500721
CNYRUBF,2023-01-17,2024-12-28,370,-29.571173906,20,-52.9627934905
CNYRUBF,2023-01-10,2023-01-11,2,0.30977512284,1,-1.04073685824
