category,rank,trade_id,net_R,instrument,direction,session,weekday,holding_minutes,entry_time,exit_time
TOP_POSITIVE,1,T3-M5-Si-000090,16.4564702653,USDRUBF,SHORT,Session_A,Friday,320,2023-04-28T08:00:00+00:00,2023-04-28T13:20:00+00:00
TOP_POSITIVE,2,T3-M5-CNY-000044,10.8641061284,CNYRUBF,SHORT,Session_A,Friday,325,2023-04-28T08:00:00+00:00,2023-04-28T13:25:00+00:00
TOP_POSITIVE,3,T3-M5-Si-000093,8.86278673904,USDRUBF,SHORT,Session_A,Thursday,340,2023-05-04T07:35:00+00:00,2023-05-04T13:15:00+00:00
TOP_POSITIVE,4,T3-M5-Si-000114,8.383260205,USDRUBF,LONG,Session_B,Monday,700,2023-05-29T19:05:00+00:00,2023-05-30T06:45:00+00:00
TOP_POSITIVE,5,T3-M5-CNY-000360,7.24822682546,CNYRUBF,SHORT,Session_B,Tuesday,295,2024-06-18T14:15:00+00:00,2024-06-18T19:10:00+00:00
BOTTOM_NEGATIVE,1,T3-M5-CNY-000349,-2.88970013348,CNYRUBF,SHORT,Session_B,Friday,3440,2024-05-31T20:45:00+00:00,2024-06-03T06:05:00+00:00
BOTTOM_NEGATIVE,2,T3-M5-Si-000200,-2.3392504105,USDRUBF,LONG,Session_B,Wednesday,555,2023-08-23T20:50:00+00:00,2023-08-24T06:05:00+00:00
BOTTOM_NEGATIVE,3,T3-M5-CNY-000081,-2.02583613923,CNYRUBF,LONG,Session_B,Tuesday,20,2023-07-04T15:50:00+00:00,2023-07-04T16:10:00+00:00
BOTTOM_NEGATIVE,4,T3-M5-CNY-000321,-1.78489593945,CNYRUBF,LONG,Session_B,Monday,50,2024-04-29T15:20:00+00:00,2024-04-29T16:10:00+00:00
BOTTOM_NEGATIVE,5,T3-M5-Si-000521,-1.60914334275,USDRUBF,LONG,Session_B,Tuesday,55,2024-09-10T15:15:00+00:00,2024-09-10T16:10:00+00:00
