month,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate
01-January,67,0.434998203585,-0.335635821983,-22.4876000729,-26.7284492368,-0.841335757031,0.238805970149
02-February,66,1.22406847317,0.135563041567,8.9471607434,-24.2619883636,0.368772773662,0.348484848485
03-March,68,1.27362854258,0.153745015078,10.4546610253,-9.86958814164,1.05928037475,0.308823529412
04-April,66,0.979664796377,-0.0140853216242,-0.929631227199,-25.5347440525,-0.0364065222384,0.257575757576
05-May,57,0.968209417934,-0.0205882000479,-1.17352740273,-18.0597153618,-0.0649803930581,0.245614035088
06-June,54,1.31843129719,0.171620781388,9.26752219496,-10.5786412017,0.876059790502,0.277777777778
07-July,75,0.913457663942,-0.0478869651524,-3.59152238643,-17.5054318615,-0.205166168698,0.28
08-August,71,0.897005126346,-0.0668348462884,-4.74527408648,-23.2513462919,-0.204085992566,0.295774647887
09-September,79,0.902615823737,-0.0561218257693,-4.43362423577,-21.3965948881,-0.207211673584,0.278481012658
10-October,66,0.884155148112,-0.0613123763886,-4.04661684165,-9.28486819142,-0.435829217844,0.318181818182
11-November,78,1.66320864933,0.359309075094,28.0261078574,-9.58977283725,2.92249966011,0.346153846154
12-December,83,1.90275878255,0.42616805898,35.3719488954,-8.46534626138,4.17844088159,0.397590361446
