section,rank,trade_id,instrument,direction,entry_time,net_R,top_1_dependency,top_5_dependency,net_R_without_top_5,PF_without_top_5,R_p05,R_p10,R_p25,R_median,R_p75,R_p90,R_p95
SUMMARY,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,50.6596044632,0.0276197293864,0.115286672292,-10.4197211292,0.978253478559,-1.15798344546,-1.09426406872,-1.01864443492,-0.592574349261,0.386061637518,2.03131293135,3.64338614014
BEST_TRADE,1,T2-M5-Si-000431,USDRUBF,LONG,2024-11-27T08:20:00+00:00,14.6330396258,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE
BEST_TRADE,2,T2-M5-CNY-000167,CNYRUBF,LONG,2023-12-21T08:40:00+00:00,12.9822711948,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE
BEST_TRADE,3,T2-M5-Si-000428,USDRUBF,LONG,2024-11-22T08:10:00+00:00,12.2037699161,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE
BEST_TRADE,4,T2-M5-CNY-000280,CNYRUBF,SHORT,2024-07-23T08:05:00+00:00,11.5022816383,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE
BEST_TRADE,5,T2-M5-CNY-000312,CNYRUBF,LONG,2024-09-16T12:10:00+00:00,9.75796321747,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE
WORST_TRADE,1,T2-M5-Si-000135,USDRUBF,LONG,2023-08-08T20:15:00+00:00,-4.91581608331,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE
WORST_TRADE,2,T2-M5-CNY-000091,CNYRUBF,LONG,2023-08-08T20:50:00+00:00,-4.66694510321,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE
WORST_TRADE,3,T2-M5-CNY-000143,CNYRUBF,SHORT,2023-11-20T20:50:00+00:00,-3.04648980458,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE
WORST_TRADE,4,T2-M5-Si-000248,USDRUBF,SHORT,2024-02-08T20:35:00+00:00,-2.80658132406,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE
WORST_TRADE,5,T2-M5-CNY-000319,CNYRUBF,LONG,2024-09-27T19:50:00+00:00,-2.596279549,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE
