time_dimension,time_value,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate
hour,0,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE
hour,1,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE
hour,2,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE
hour,3,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE
hour,4,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE
hour,5,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE
hour,6,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE
hour,7,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE
hour,8,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE
hour,9,30,0.412250170924,-0.37526147187,-11.2578441561,-13.029477157,-0.864028849387,0.233333333333
hour,10,142,1.68760387768,0.333585481589,47.3691383857,-10.88525666,4.35167859291,0.408450704225
hour,11,113,2.38291313134,0.605354682939,68.4050791722,-16.4169026399,4.16674696028,0.389380530973
hour,12,140,1.39239170124,0.167115107926,23.3961151097,-8.6410481024,2.70755524473,0.428571428571
hour,13,111,1.29277895223,0.132617098689,14.7204979545,-10.687121673,1.37740529255,0.441441441441
hour,14,113,0.802223859742,-0.107191765062,-12.112669452,-15.4520636697,-0.783886845856,0.345132743363
hour,15,107,0.797372103196,-0.102602102554,-10.9784249733,-28.2442755487,-0.388695576715,0.355140186916
hour,16,92,0.591125450356,-0.237132262845,-21.8161681818,-27.4194932752,-0.79564446953,0.271739130435
hour,17,106,1.5616134454,0.235372111748,24.9494438453,-10.0840030239,2.4741606866,0.481132075472
hour,18,84,0.979389434626,-0.0097561177134,-0.819513887926,-10.1628291871,-0.0806383609166,0.392857142857
hour,19,48,0.345665859608,-0.285754028474,-13.7161933668,-15.5611578227,-0.881437841774,0.25
hour,20,13,0.212856208593,-0.408894344972,-5.31562648464,-6.75305648429,-0.787143791407,0.230769230769
hour,21,11,0.161347433448,-0.663721443788,-7.30093588167,-7.30093588167,-1,0.0909090909091
hour,22,11,1.21483806393,0.158833369102,1.74716706012,-5.27079334291,0.331480850501,0.272727272727
hour,23,10,0.101758959134,-0.973981482441,-9.73981482441,-9.73981482441,-1,0.1
year,2023,521,1.3201524369,0.153391327385,79.9168815676,-20.8985142027,3.82404609211,0.383877159309
year,2024,610,1.02486774698,0.012480932379,7.6133687512,-42.8121622922,0.177831913727,0.367213114754
