configuration_id,parameter_hash,baseline_configuration,adx_threshold,confirmation_window,ema_fast,ema_slow,ema_trend,impulse_distance_atr,max_initial_stop_atr,trailing_atr
T2-D1-0000-5553cde1a914,5553cde1a9142d213cbe5fd6a7702a1ef57b45736d0b73b6788e6527cd59a7e6,False,15,3,20,200,50,0.5,2.5,3
T2-D1-0001-3cda411fac32,3cda411fac323ec3a1db20a94666c2fa206b37b34c916931620eb815cebfd8c8,False,20,2,20,200,50,0.5,2.5,3
T2-D1-0002-2d018223b5df,2d018223b5dfc4bffc1accd507004d9c4ecc5ec31623df5e6c07cca31270127e,False,20,3,15,200,50,0.5,2.5,3
T2-D1-0003-f6822266078f,f6822266078f7d216a48969dc05eddb5014dbc60fc8b73a5b1885a9fa579de83,False,20,3,20,150,50,0.5,2.5,3
T2-D1-0004-b6d0084e4f65,b6d0084e4f650f0959ae0429377e82a59e0deaf64378afe1fca48695185d8a3a,False,20,3,20,200,40,0.5,2.5,3
T2-D1-0005-d585df88c9ab,d585df88c9ab9c3c845f98a114548c58cc4b34dd0cc3ec6b04114b570d680a20,False,20,3,20,200,50,0.3,2.5,3
T2-D1-0006-62a6c15a0bef,62a6c15a0bef259d0121b6290654e43b908ea3cfd5516c09770273d8a24645d5,False,20,3,20,200,50,0.5,2,3
T2-D1-0007-5e693919b60a,5e693919b60a8c9538ddac28dbf47249ba782054a4ed981cdc04dd7bcb08b8cd,False,20,3,20,200,50,0.5,2.5,2
T2-D1-0008-2b0494cdd24b,2b0494cdd24bfbfa8ce7d657d6f83d1408f07b9f565d38d093dec5b4856e3c00,True,20,3,20,200,50,0.5,2.5,3
T2-D1-0009-02b46f097e21,02b46f097e21c70eb3be41e402cc826d655ed1ee0d6371f17771a422128092d9,False,20,3,20,200,50,0.5,2.5,4
T2-D1-0010-d3783aeec2de,d3783aeec2de23fb37ecd3aa905ab998509a4f2bc0697de1b5da23f634681d79,False,20,3,20,200,50,0.5,3,3
T2-D1-0011-37b94d2fd3b2,37b94d2fd3b2d7798096c47f048f17af457040171f74568590f7bc1b3dc642b2,False,20,3,20,200,50,0.7,2.5,3
T2-D1-0012-f533275fb390,f533275fb390f0940350540af8ab46360daaefa52afe5255a36742fd098aff8c,False,20,3,20,200,60,0.5,2.5,3
T2-D1-0013-2fa976bb392d,2fa976bb392d41cb9930ccc4af980551018d9379d36e122caf80fb2f3cd553dd,False,20,3,20,250,50,0.5,2.5,3
T2-D1-0014-26fb9b19bd4f,26fb9b19bd4fca7805d88d08817831d516d5de51b118bfd428d8626e593da317,False,20,3,25,200,50,0.5,2.5,3
T2-D1-0015-06f7457aa579,06f7457aa57960746e15e5c8570bcc65c149903b9367cb4c865e57541be2f6d5,False,20,3,30,200,50,0.5,2.5,3
T2-D1-0016-6849cb8732c4,6849cb8732c4237e912c31cae46b7e11527086ee91b6b8af9f481561c8ee0278,False,20,4,20,200,50,0.5,2.5,3
T2-D1-0017-ddab5bab2879,ddab5bab287951f55b1bd11c8394cc1d3d2aa38bebc9ab870e0481a4fec5c89e,False,25,3,20,200,50,0.5,2.5,3
T2-D1-0018-f1f384e0c476,f1f384e0c476fe4a09f2cb4bdaee1b092803a1c55ae4e3ca00f5fd66db015490,False,30,3,20,200,50,0.5,2.5,3
