configuration_id,trades,PF_C1,expectancy_C1,net_R_C1,max_DD_C1,recovery_factor_C1,win_rate_C1,instrument_USDRUBF_trades,instrument_USDRUBF_PF,instrument_USDRUBF_expectancy,instrument_USDRUBF_net_R,instrument_USDRUBF_max_DD,instrument_USDRUBF_recovery_factor,instrument_USDRUBF_win_rate,instrument_CNYRUBF_trades,instrument_CNYRUBF_PF,instrument_CNYRUBF_expectancy,instrument_CNYRUBF_net_R,instrument_CNYRUBF_max_DD,instrument_CNYRUBF_recovery_factor,instrument_CNYRUBF_win_rate,year_2023_trades,year_2023_PF,year_2023_expectancy,year_2023_net_R,year_2023_max_DD,year_2023_recovery_factor,year_2023_win_rate,year_2024_trades,year_2024_PF,year_2024_expectancy,year_2024_net_R,year_2024_max_DD,year_2024_recovery_factor,year_2024_win_rate,direction_LONG_trades,direction_LONG_PF,direction_LONG_expectancy,direction_LONG_net_R,direction_LONG_max_DD,direction_LONG_recovery_factor,direction_LONG_win_rate,direction_SHORT_trades,direction_SHORT_PF,direction_SHORT_expectancy,direction_SHORT_net_R,direction_SHORT_max_DD,direction_SHORT_recovery_factor,direction_SHORT_win_rate,top_1_positive_R_share,top_3_positive_R_share,top_5_positive_R_share,top_10_positive_R_share,net_R_without_best_trade,PF_R_C1_without_best_trade,expectancy_C1_without_best_trade,net_R_without_top3,PF_R_C1_without_top3,expectancy_C1_without_top3,net_R_without_top5,PF_R_C1_without_top5,expectancy_C1_without_top5,classification
T3-D1-0000-eb17737ebf56,4,0.102216885043,-0.371388985669,-1.48555594268,-1.48555594268,-1,0.25,2,0.512871981468,-0.0803238211263,-0.160647642253,-0.329785264121,-0.487128018532,0.5,2,0,-0.662454150212,-1.32490830042,-1.32490830042,-1,0,0,,,0,0,,,4,0.102216885043,-0.371388985669,-1.48555594268,-1.48555594268,-1,0.25,0,,,0,0,,,4,0.102216885043,-0.371388985669,-1.48555594268,-1.48555594268,-1,0.25,1,1,1,1,-1.65469356455,0,-0.551564521515,-1.65469356455,0,-0.551564521515,-1.65469356455,0,-0.551564521515,NO_EDGE
T3-D1-0001-e79c6ccdc36c,6,2.42315028768,0.244632764624,1.46779658775,-0.477912846121,3.07126414295,0.5,3,2.90876883454,0.209827944749,0.629483834246,-0.329785264121,1.90876883454,0.666666666667,3,2.19488205487,0.2794375845,0.838312753499,-0.384320990421,2.18128276726,0.333333333333,0,,,0,0,,,6,2.42315028768,0.244632764624,1.46779658775,-0.477912846121,3.07126414295,0.5,3,6.06271965978,0.648569811289,1.94570943387,-0.384320990421,5.06271965978,0.666666666667,3,0.261397881983,-0.15930428204,-0.477912846121,-0.477912846121,-1,0.333333333333,0.616164627327,1,1,1,-0.0721023600429,0.930090793715,-0.0144204720086,-1.03137145841,0,-0.343790486137,-1.03137145841,0,-0.343790486137,LOCAL_SPIKE
T3-D1-0002-d9ba4217a7c3,5,0.0916166464646,-0.335401493268,-1.67700746634,-1.67700746634,-1,0.2,2,30.8116961445,0.081824112605,0.16364822521,-0.00548939665884,29.8116961445,0.5,3,0,-0.613551897184,-1.84065569155,-1.84065569155,-1,0,0,,,0,0,,,5,0.0916166464646,-0.335401493268,-1.67700746634,-1.67700746634,-1,0.2,1,0,-1.00366964579,-1.00366964579,-1.00366964579,-1,0,4,0.200762673132,-0.168334455139,-0.673337820555,-0.673337820555,-1,0.25,1,1,1,1,-1.84614508821,0,-0.461536272052,-1.84614508821,0,-0.461536272052,-1.84614508821,0,-0.461536272052,NO_EDGE
T3-D1-0003-9b1e60957d91,4,0,-0.748601016541,-2.99440406617,-2.99440406617,-1,0,2,0,-0.834747882871,-1.66949576574,-1.66949576574,-1,0,2,0,-0.662454150212,-1.32490830042,-1.32490830042,-1,0,0,,,0,0,,,4,0,-0.748601016541,-2.99440406617,-2.99440406617,-1,0,1,0,-1.00106430464,-1.00106430464,-1.00106430464,-1,0,3,0,-0.664446587176,-1.99333976153,-1.99333976153,-1,0,,,,,-2.99440406617,0,-0.748601016541,-2.99440406617,0,-0.748601016541,-2.99440406617,0,-0.748601016541,NO_EDGE
T3-D1-0004-ef25bc83a9b8,0,,,0,0,,,0,,,0,0,,,0,,,0,0,,,0,,,0,0,,,0,,,0,0,,,0,,,0,0,,,0,,,0,0,,,,,,,0,,,0,,,0,,,NO_EDGE
T3-D1-0005-6e0dd817f5a7,0,,,0,0,,,0,,,0,0,,,0,,,0,0,,,0,,,0,0,,,0,,,0,0,,,0,,,0,0,,,0,,,0,0,,,,,,,0,,,0,,,0,,,NO_EDGE
T3-D1-0006-8b22fd2c7e81,4,0.102216885043,-0.371388985669,-1.48555594268,-1.48555594268,-1,0.25,2,0.512871981468,-0.0803238211263,-0.160647642253,-0.329785264121,-0.487128018532,0.5,2,0,-0.662454150212,-1.32490830042,-1.32490830042,-1,0,0,,,0,0,,,4,0.102216885043,-0.371388985669,-1.48555594268,-1.48555594268,-1,0.25,0,,,0,0,,,4,0.102216885043,-0.371388985669,-1.48555594268,-1.48555594268,-1,0.25,1,1,1,1,-1.65469356455,0,-0.551564521515,-1.65469356455,0,-0.551564521515,-1.65469356455,0,-0.551564521515,NO_EDGE
T3-D1-0007-b8b39c21f8a1,4,0.120408910625,-0.411851980892,-1.64740792357,-1.64740792357,-1,0.25,2,0.512871981468,-0.107098428168,-0.214196856337,-0.439713685495,-0.487128018532,0.5,2,0,-0.716605533616,-1.43321106723,-1.43321106723,-1,0,0,,,0,0,,,4,0.120408910625,-0.411851980892,-1.64740792357,-1.64740792357,-1,0.25,0,,,0,0,,,4,0.120408910625,-0.411851980892,-1.64740792357,-1.64740792357,-1,0.25,1,1,1,1,-1.87292475273,0,-0.624308250909,-1.87292475273,0,-0.624308250909,-1.87292475273,0,-0.624308250909,NO_EDGE
T3-D1-0008-5dba2bc9137e,4,1.64327305581,0.115066346885,0.460265387539,-0.715505465969,0.643273055805,0.75,2,,0.455492401163,0.910984802326,0,,1,2,0.370068523269,-0.225359707393,-0.450719414787,-0.715505465969,-0.629931476731,0.5,0,,,0,0,,,4,1.64327305581,0.115066346885,0.460265387539,-0.715505465969,0.643273055805,0.75,0,,,0,0,,,4,1.64327305581,0.115066346885,0.460265387539,-0.715505465969,0.643273055805,0.75,0.662262340647,1,1,1,-0.31840336997,0.554995195546,-0.106134456657,-0.715505465969,0,-0.715505465969,-0.715505465969,0,-0.715505465969,LOCAL_SPIKE
T3-D1-0009-db103492d13d,4,0.47017266235,-0.133507796924,-0.534031187695,-0.981694801041,-0.543989014843,0.25,2,4.79976769401,0.187584290018,0.375168580037,-0.098734609652,3.79976769401,0.5,2,0,-0.454599883866,-0.909199767732,-0.909199767732,-1,0,0,,,0,0,,,4,0.47017266235,-0.133507796924,-0.534031187695,-0.981694801041,-0.543989014843,0.25,0,,,0,0,,,4,0.47017266235,-0.133507796924,-0.534031187695,-0.981694801041,-0.543989014843,0.25,1,1,1,1,-1.00793437738,0,-0.335978125795,-1.00793437738,0,-0.335978125795,-1.00793437738,0,-0.335978125795,NO_EDGE
