parameter,value,configurations,positive_C1_share,mean_expectancy_C1
ema_period,50,1,0,-0.371388985669
ema_period,75,18,0.222222222222,-0.242454560649
ema_period,100,1,0,-0.748601016541
ema_period,150,1,,
ema_period,200,1,,
adx_threshold,15,1,0,-0.371388985669
adx_threshold,20,19,0.235294117647,-0.222079691032
adx_threshold,25,1,0,-0.668714180339
adx_threshold,30,1,0,-0.668714180339
breakout_period,10,1,0,-0.335401493268
breakout_period,20,18,0.25,-0.307911201727
breakout_period,30,1,0,-0.0740637909999
breakout_period,40,1,0,-0.0740637909999
breakout_period,55,1,0,-0.0740637909999
atr_average_period,10,1,1,0.244632764624
atr_average_period,20,19,0.0588235294118,-0.359384349413
atr_average_period,30,1,1,0.270546549224
atr_average_period,50,1,1,0.110182532271
stop_atr,1.5,1,0,-0.411851980892
stop_atr,2,19,0.235294117647,-0.264468929955
stop_atr,2.5,1,0,-0.314371802058
stop_atr,3,1,0,-0.261976501715
trail_atr,2,1,1,0.115066346885
trail_atr,2.5,1,0,-0.133507796924
trail_atr,3,18,0.1875,-0.25753922744
trail_atr,3.5,1,0,-0.56978981631
trail_atr,4,1,0,-0.775313188504
