configuration_id,parameter_hash,baseline_configuration,adx_threshold,atr_average_period,breakout_period,ema_period,stop_atr,trail_atr
T3-H4-0000-eb17737ebf56,eb17737ebf56dcacb10bfbab7224d4ee08a26dfe3288833a6c27eae62018c4d8,False,15,20,20,75,2,3
T3-H4-0001-e79c6ccdc36c,e79c6ccdc36c890d2f61f565f7256eb807c0b589883fd61100694b8faafeeaba,False,20,10,20,75,2,3
T3-H4-0002-d9ba4217a7c3,d9ba4217a7c37fd047e640feda972f4b1a98bec9f20d88f71816ce9989325938,False,20,20,10,75,2,3
T3-H4-0003-9b1e60957d91,9b1e60957d918a086d58a9a721faa60c5dbd66d73721b08c733be460c930215f,False,20,20,20,100,2,3
T3-H4-0004-ef25bc83a9b8,ef25bc83a9b8a3fc4b7eb22cfeef646937c7289b8b687af50ba3af0d8ba5d24e,False,20,20,20,150,2,3
T3-H4-0005-6e0dd817f5a7,6e0dd817f5a7f73c92bcf6759324f7d230764fb90cabd68e0989623d145d0d8f,False,20,20,20,200,2,3
T3-H4-0006-8b22fd2c7e81,8b22fd2c7e817feab97851f14aa1669f02ce0845bea596cfebb7daf0a5945a73,False,20,20,20,50,2,3
T3-H4-0007-b8b39c21f8a1,b8b39c21f8a11e3bf333b2bb83768291c9b31987595de24fb873897b8b60e50e,False,20,20,20,75,1.5,3
T3-H4-0008-5dba2bc9137e,5dba2bc9137e94546a41ff70ce840f3fe7357d07cd79723e710f4d6e71547d2f,False,20,20,20,75,2,2
T3-H4-0009-db103492d13d,db103492d13dd7f056efb7ae3547eebb7fb5c98238e6644e4fb83607baceba37,False,20,20,20,75,2,2.5
T3-H4-0010-938b6b3b78f6,938b6b3b78f680010115a204b9a49e7eef962db119f4ea121e388c00741920ba,True,20,20,20,75,2,3
T3-H4-0011-76dd2f3526c3,76dd2f3526c38a3c7abfd3117d2a9ea4a78d0954c868bd01260736011726ba69,False,20,20,20,75,2,3.5
T3-H4-0012-82c674b1e20f,82c674b1e20f382dd9e264af8d7d22177a6385a016470c788658adaaa88a5313,False,20,20,20,75,2,4
T3-H4-0013-4dff97e36238,4dff97e362386a773c645ab03f165216c4e17d1e6669b183436372f72fd25562,False,20,20,20,75,2.5,3
T3-H4-0014-a750b6d58916,a750b6d58916d79b3a14b5b9324972e8896c48dfe8460197d9bbc6b7fba7d442,False,20,20,20,75,3,3
T3-H4-0015-924083b3822d,924083b3822d9504e71c478bbdfba743cdb692ece5c9cd0bb40aae39c4e130ed,False,20,20,30,75,2,3
T3-H4-0016-98c3349eff3f,98c3349eff3fec15be53da4a58835d8ee7c91f71b8e17207a0855ff8fbe01023,False,20,20,40,75,2,3
T3-H4-0017-737e6c59a803,737e6c59a803526faf92d02d1bfa9e92f5f67e020f025dc5eb00b894b217837c,False,20,20,55,75,2,3
T3-H4-0018-ab666f9016c3,ab666f9016c3088881e6f097c501f585ee2081d0ce34737c89ab2877d659de2e,False,20,30,20,75,2,3
T3-H4-0019-7507864f8bc2,7507864f8bc2c3108a32f26fbe707966a1e6ce80dcc2e829a127f198613c7497,False,20,50,20,75,2,3
T3-H4-0020-816e9e819790,816e9e819790e1523aa5408bc1437119fae03f840c9e672c74f9974983e429c3,False,25,20,20,75,2,3
T3-H4-0021-0912e76c7e11,0912e76c7e115c2778b801e8defed3b807596b436ba8a9bcb38737e025d6de18,False,30,20,20,75,2,3
