parameter,value,configurations,positive_C1_share,mean_expectancy_C1,std_expectancy_C1
ema_period,50,1,1,0.482467456149,0
ema_period,75,18,1,0.488709933545,0.202001063022
ema_period,100,1,1,0.584987026212,0
ema_period,150,1,1,0.602705512447,0
ema_period,200,1,1,0.813383608427,0
adx_threshold,15,1,1,0.574926328904,0
adx_threshold,20,19,1,0.517838584602,0.206403210401
adx_threshold,25,1,1,0.325894461507,0
adx_threshold,30,1,1,0.540568509186,0
breakout_period,10,1,1,0.25875927438,0
breakout_period,20,18,1,0.506376002544,0.202374356349
breakout_period,30,1,1,0.670003454954,0
breakout_period,40,1,1,0.618395815959,0
breakout_period,55,1,1,0.618395815959,0
atr_average_period,10,1,1,1.0539133454,0
atr_average_period,20,19,1,0.515935840925,0.14054635069
atr_average_period,30,1,1,0.212907329787,0
atr_average_period,50,1,1,0.210720754269,0
stop_atr,1.5,1,1,0.5929114805,0
stop_atr,2,19,1,0.500441757582,0.208805614895
stop_atr,2.5,1,1,0.591269904558,0
stop_atr,3,1,1,0.587747627923,0
trail_atr,2,1,1,0.462011125882,0
trail_atr,2.5,1,1,0.358547986744,0
trail_atr,3,18,1,0.545382288944,0.201389815471
trail_atr,3.5,1,1,0.340548627672,0
trail_atr,4,1,1,0.302333465758,0
