configuration_id,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate,average_holding_minutes,losing_streak,average_MAE_R,average_MFE_R,concentration_top_1,concentration_top_5,top_five_trade_dependency_net_R,top_five_trade_dependency_PF,adx_threshold,atr_average_period,breakout_period,ema_period,stop_atr,trail_atr
T3-M15-0000-eb17737ebf56,482,1.4010809432,0.183343535089,88.3715839127,-37.1265393299,2.38028067004,0.381742738589,550.020746888,18,0.617699495358,1.59856715467,0.0271562172451,0.120526507263,51.164433592,1.23221355072,15,20,20,75,2,3
T3-M15-0001-e79c6ccdc36c,406,1.65184958415,0.275351993575,111.792909391,-16.6651675021,6.70817796325,0.406403940887,557.660098522,12,0.590158196343,1.69832612154,0.029592097387,0.131337590521,74.5857590707,1.43489963987,20,10,20,75,2,3
T3-M15-0002-d9ba4217a7c3,544,1.59889863824,0.250858468928,136.467007097,-39.5497479152,3.45051521919,0.409926470588,618.943014706,15,0.591090048552,1.64641393839,0.0242725704574,0.111281257375,95.9238748348,1.42097118736,20,20,10,75,2,3
T3-M15-0003-9b1e60957d91,428,1.51505808838,0.225086251161,96.336915497,-30.676994687,3.1403635356,0.394859813084,549.813084112,13,0.613337707572,1.6451749022,0.029583346627,0.131298752323,59.1297651763,1.31613285168,20,20,20,100,2,3
T3-M15-0004-ef25bc83a9b8,421,1.59744625588,0.254111402839,106.980900595,-26.5902336689,4.02331554989,0.399049881235,551.472684086,16,0.603545043052,1.67875068947,0.0293075456613,0.121767370052,72.1500093093,1.4029294265,20,20,20,150,2,3
T3-M15-0005-6e0dd817f5a7,418,1.5675069086,0.240091818476,100.358380123,-26.8346142306,3.73988533096,0.406698564593,581.877990431,16,0.609861025569,1.65515373206,0.0302427415648,0.121487922507,66.6820266671,1.37707375076,20,20,20,200,2,3
T3-M15-0006-8b22fd2c7e81,442,1.43579879338,0.194741974293,86.0759526375,-39.444926406,2.18218058646,0.391402714932,532.907239819,14,0.614069360484,1.6109733501,0.0295613125588,0.131200959274,48.8688023168,1.24742061437,20,20,20,50,2,3
T3-M15-0007-b8b39c21f8a1,445,1.52100564932,0.281601670938,125.312743567,-52.796537997,2.37350304246,0.366292134831,482.056179775,17,0.710605616809,2.03312772295,0.0295081045361,0.133978377057,76.2989467869,1.31722378093,20,20,20,75,1.5,3
T3-M15-0008-db103492d13d,453,1.39406420534,0.159988424842,72.4747564536,-36.9459714969,1.96164164907,0.373068432671,383.675496689,15,0.558096338226,1.37972680189,0.0337735403801,0.119169605364,41.9207578624,1.22793412414,20,20,20,75,2,2.5
T3-M15-0009-d68849409a80,500,1.24862452372,0.0864992327034,43.2496163517,-32.3526479401,1.33681844008,0.382,226.41,12,0.487706325477,1.12584453999,0.0385917326912,0.130748670371,14.8503293458,1.08536852745,20,20,20,75,2,2
