configuration_id,neighbor_count,positive_neighbors,stable_neighbors,classification,expectancy_C1,PF_C1
T2-M30-0000-5553cde1a914,1,1,1,LOCAL_SPIKE,0.22268741191,1.5007887264
T2-M30-0001-3cda411fac32,1,1,0,LOCAL_SPIKE,0.118508654896,1.23533810602
T2-M30-0002-2d018223b5df,1,1,1,LOCAL_SPIKE,0.31742007103,1.72731251922
T2-M30-0003-f6822266078f,1,1,1,LOCAL_SPIKE,0.224511661755,1.49284632834
T2-M30-0004-b6d0084e4f65,1,1,1,LOCAL_SPIKE,0.185220496584,1.40151009614
T2-M30-0005-d585df88c9ab,1,1,1,LOCAL_SPIKE,0.181398676999,1.39260169736
T2-M30-0006-62a6c15a0bef,1,1,1,LOCAL_SPIKE,0.213527231599,1.43032604984
T2-M30-0007-5e693919b60a,1,1,0,LOCAL_SPIKE,0.0689249670515,1.19216817294
T2-M30-0008-2b0494cdd24b,16,16,10,ROBUST_PLATEAU,0.222571280767,1.48755149674
T2-M30-0009-02b46f097e21,1,1,0,LOCAL_SPIKE,0.453191206941,1.84938460731
T2-M30-0010-d3783aeec2de,1,1,1,LOCAL_SPIKE,0.189170961721,1.41349591452
T2-M30-0011-37b94d2fd3b2,1,1,1,LOCAL_SPIKE,0.226436554212,1.49604968525
T2-M30-0012-f533275fb390,1,1,1,LOCAL_SPIKE,0.263082108856,1.56956734717
T2-M30-0013-2fa976bb392d,1,1,1,LOCAL_SPIKE,0.205692846227,1.45260336781
T2-M30-0014-26fb9b19bd4f,2,1,0,LOCAL_SPIKE,0.0815749744072,1.17055959631
T2-M30-0015-06f7457aa579,1,1,0,NO_EDGE,-0.035068354483,0.928294195472
T2-M30-0016-6849cb8732c4,1,1,1,LOCAL_SPIKE,0.197294732897,1.4199452672
T2-M30-0017-ddab5bab2879,2,2,0,LOCAL_SPIKE,0.345103331509,1.74876227607
T2-M30-0018-f1f384e0c476,1,1,1,LOCAL_SPIKE,0.521637657565,2.13263323396
