parameter,value,configurations,positive_C1_share,mean_expectancy_C1,std_expectancy_C1
ema_fast,15,1,1,0.31742007103,0
ema_fast,20,16,1,0.239934986343,0.110148726462
ema_fast,25,1,1,0.0815749744072,0
ema_fast,30,1,0,-0.035068354483,0
ema_trend,40,1,1,0.185220496584,0
ema_trend,50,17,0.941176470588,0.22085787453,0.13086053651
ema_trend,60,1,1,0.263082108856,0
ema_slow,150,1,1,0.224511661755,0
ema_slow,200,17,0.941176470588,0.221922468498,0.131486182134
ema_slow,250,1,1,0.205692846227,0
adx_threshold,15,1,1,0.22268741191,0
adx_threshold,20,16,0.9375,0.194591129466,0.105244132831
adx_threshold,25,1,1,0.345103331509,0
adx_threshold,30,1,1,0.521637657565,0
impulse_distance_atr,0.3,1,1,0.181398676999,0
impulse_distance_atr,0.5,17,0.941176470588,0.223238308308,0.131167739285
impulse_distance_atr,0.7,1,1,0.226436554212,0
confirmation_window,2,1,1,0.118508654896,0
confirmation_window,3,17,0.941176470588,0.228651946156,0.12881947609
confirmation_window,4,1,1,0.197294732897,0
max_initial_stop_atr,2,1,1,0.213527231599,0
max_initial_stop_atr,2.5,17,0.941176470588,0.223540487007,0.131280779293
max_initial_stop_atr,3,1,1,0.189170961721,0
trailing_atr,2,1,1,0.0689249670515,0
trailing_atr,3,17,0.941176470588,0.216515899909,0.112925323209
trailing_atr,4,1,1,0.453191206941,0
