configuration_id,trades,PF_C1,expectancy_C1,net_R_C1,max_DD_C1,recovery_factor_C1,win_rate_C1,Si_trades,Si_expectancy_C1,CNY_trades,CNY_expectancy_C1,2023_trades,2023_expectancy_C1,2024_trades,2024_expectancy_C1,LONG_trades,LONG_expectancy_C1,SHORT_trades,SHORT_expectancy_C1,top_1_positive_R_share,top_3_positive_R_share,top_5_positive_R_share,top_10_positive_R_share,net_R_without_best_trade,expectancy_C1_without_best_trade,net_R_without_top3,expectancy_C1_without_top3,net_R_without_top5,expectancy_C1_without_top5,PF_C1_without_best_trade,PF_C1_without_top3,PF_C1_without_top5
T3-M30-0000-eb17737ebf56,264,1.89702973148,0.377541806214,99.6710368406,-18.2419730102,5.46382986011,0.439393939394,137,0.466385087269,127,0.281702991219,137,0.43130129566,127,0.319549286104,164,0.368162770066,100,0.392923425497,0.0469091362162,0.124368513373,0.188304670131,0.313107645908,89.7833725698,0.341381644752,73.4562265651,0.281441481093,59.9795500842,0.231581274456,1.8080417054,1.66109896395,1.53981017367
T3-M30-0001-e79c6ccdc36c,237,2.0226336743,0.432455924833,102.492054185,-20.3619543171,5.03350771685,0.443037974684,116,0.548027648964,121,0.321659891782,119,0.641201933637,118,0.221940882056,146,0.398147085202,91,0.48750087633,0.0381027104879,0.11331091163,0.175406243741,0.308145093527,94.7680373389,0.401559480249,79.5221557419,0.339838272401,66.9344583008,0.288510596124,1.94556584899,1.79344720877,1.66785109903
T3-M30-0002-d9ba4217a7c3,307,1.84688192247,0.377613788895,115.927433191,-26.6494169456,4.35009266534,0.416938110749,149,0.505651394906,158,0.256869464239,155,0.481301825685,152,0.271879277695,191,0.345312729903,116,0.430799153269,0.0391103069021,0.102988743296,0.160794961229,0.274093197478,106.03976892,0.346535192549,89.890355038,0.295691957362,75.2760878292,0.249258568971,1.77464980367,1.65667387426,1.54991261535
T3-M30-0003-9b1e60957d91,233,2.03820065845,0.431468166867,100.53208288,-17.0293759883,5.90345077525,0.44635193133,118,0.505469667036,115,0.355536192781,121,0.482566694948,112,0.376263507066,149,0.364055642482,84,0.551045144645,0.0500983466676,0.124882288489,0.19199453992,0.325282492971,90.6444186092,0.390708700902,75.88467984,0.329933390609,62.6390648699,0.274732740657,1.93609017528,1.78366549582,1.64687726077
T3-M30-0004-ef25bc83a9b8,229,1.82703361278,0.352854398839,80.8036573341,-20.0623653048,4.02762366782,0.427947598253,117,0.425461045598,112,0.277006383921,118,0.394401242646,111,0.3086874838,148,0.307640304988,81,0.435467804887,0.0431114284296,0.124590601624,0.194132678534,0.341501911044,73.1079807554,0.320649038401,58.5634066683,0.259130118001,46.1496836253,0.206025373327,1.74826758394,1.59940239577,1.47234668376
T3-M30-0005-6e0dd817f5a7,225,1.58978900086,0.267446611187,60.175487517,-22.6663622876,2.6548365703,0.408888888889,114,0.326438783717,111,0.206860055615,111,0.285464077323,114,0.249903288896,145,0.218055378234,80,0.356968220913,0.047444335816,0.130528903899,0.197644098416,0.348779682996,52.4798109383,0.23428487026,39.0031344574,0.175689794853,28.1167594743,0.127803452156,1.51436251763,1.38227558515,1.27557658711
T3-M30-0006-8b22fd2c7e81,244,1.9118184541,0.391400332652,95.5016811672,-17.0770228571,5.59240811272,0.44262295082,124,0.445845722899,120,0.335140096065,128,0.433284117698,116,0.345183742257,149,0.370421162158,95,0.424304505323,0.0493792424812,0.125517556202,0.192820415357,0.324195173035,85.6140168964,0.352321057187,70.3681352994,0.291983963898,56.8914588185,0.238039576646,1.81741430707,1.67185167384,1.54318082569
T3-M30-0007-b8b39c21f8a1,243,2.12284329959,0.565629831469,137.448049047,-21.35755835,6.43556940334,0.407407407407,124,0.640013955537,119,0.488120324038,130,0.610161120106,113,0.514399145427,155,0.459634019136,88,0.752327000921,0.0507335302074,0.128960032782,0.198108757356,0.333086632719,124.264496686,0.513489655727,103.936654557,0.433069393986,85.9677525821,0.361209044463,2.01514396492,1.84908135808,1.70228945145
T3-M30-0008-5dba2bc9137e,283,1.72864224577,0.231232316987,65.4387457074,-13.7730410161,4.75121983815,0.466431095406,148,0.226145750355,135,0.236808701147,155,0.289498292106,128,0.160675862743,177,0.21301493181,106,0.261651912991,0.0275461321444,0.0817095585969,0.125930816602,0.225901237065,61.1622664696,0.21688746975,52.7535081198,0.188405386142,45.8882505678,0.165065649524,1.68102483804,1.58739565089,1.51095291615
T3-M30-0009-db103492d13d,260,1.83726323257,0.315386497148,82.0004892584,-15.9929818173,5.1272795902,0.461538461538,134,0.317182810538,126,0.313476132113,141,0.356879074071,119,0.26622302365,162,0.292415773504,98,0.353358509702,0.0463167306794,0.125287007827,0.185791049256,0.295444944905,73.6662933669,0.284425843115,59.456444146,0.231348031697,48.5693947775,0.190468214814,1.75216720624,1.60707801957,1.49591616883
T3-M30-0010-938b6b3b78f6,235,2.00268933089,0.425920854549,100.091400819,-17.8646979833,5.60274799564,0.43829787234,119,0.516871383905,116,0.33261815633,124,0.479760226504,111,0.365775970562,148,0.373576366626,87,0.514966650095,0.0494595036943,0.125721572927,0.193133826412,0.324722121133,90.2037365481,0.385486053625,74.9578549512,0.323094202376,61.4811784702,0.26730947161,1.90363731053,1.75090807813,1.6159022773
T3-M30-0011-76dd2f3526c3,220,2.21598667519,0.547615368467,120.475381063,-21.3126072288,5.65277536294,0.431818181818,110,0.65814168473,110,0.437089052204,114,0.622219434184,106,0.467380807224,136,0.517120947542,84,0.59698728806,0.105018112277,0.200269584915,0.280556276859,0.418942366794,97.4184848417,0.444833264117,76.5058701329,0.352561613516,58.8787972031,0.273854870712,1.98326793773,1.77219194357,1.59427770403
