configuration_id,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate,average_holding_minutes,losing_streak,average_MAE_R,average_MFE_R,concentration_top_1,concentration_top_5,top_five_trade_dependency_net_R,top_five_trade_dependency_PF,adx_threshold,confirmation_window,ema_fast,ema_slow,ema_trend,impulse_distance_atr,max_initial_stop_atr,trailing_atr
T2-M5-0000-5553cde1a914,1161,0.979665116226,-0.0118536012279,-13.7620310256,-68.5217450415,-0.200841806018,0.293712316968,121.795865633,18,0.443514429194,1.46100994103,0.0195808795092,0.0876677046586,-71.8863822003,0.893780124153,15,3,20,200,50,0.5,2.5,3
T2-M5-0001-3cda411fac32,738,1.08257383986,0.0497668803879,36.7279577263,-51.5099502949,0.71302646413,0.29810298103,120.318428184,17,0.466469436479,1.5889493674,0.0303894416793,0.126847644124,-24.3513678662,0.945251898687,20,2,20,200,50,0.5,2.5,3
T2-M5-0002-2d018223b5df,994,1.03783213773,0.022037200322,21.90497712,-70.230643364,0.311900561789,0.310865191147,124.336016097,17,0.467876659859,1.55202078279,0.0216043716824,0.0914773283721,-33.0646143385,0.94289402647,20,3,15,200,50,0.5,2.5,3
T2-M5-0003-f6822266078f,857,1.09072722393,0.0527789385082,45.2315503015,-55.6768597156,0.812394063396,0.296382730455,120.851808635,15,0.45886160667,1.54327274495,0.0269100524882,0.112324431538,-15.847775291,0.968211908544,20,3,20,150,50,0.5,2.5,3
T2-M5-0004-b6d0084e4f65,851,1.08324541814,0.0481835965784,41.0042406882,-56.5811038016,0.724698493547,0.290246768508,113.014101058,16,0.438822153452,1.53660274184,0.0274245337571,0.114471912153,-20.0750849043,0.959244243792,20,3,20,200,40,0.5,2.5,3
T2-M5-0005-d585df88c9ab,860,1.08021123972,0.0465044154638,39.9937972989,-60.1339477221,0.665078525755,0.3,125.122093023,21,0.457077849332,1.53497803849,0.0271686741071,0.11340393617,-21.0855282937,0.95771103324,20,3,20,200,50,0.3,2.5,3
T2-M5-0006-c8f8799b3e84,635,1.10746995479,0.0661918638289,42.0318335314,-41.1041851906,1.02256822113,0.299212598425,102.31496063,17,0.467437065883,1.67304363775,0.033784020086,0.141016850594,-19.0474920611,0.951298029641,20,3,20,200,50,0.5,2,3
T2-M5-0007-97448e9f1022,877,0.995726945387,-0.00208221585278,-1.82610330288,-66.6272087123,-0.0274077713622,0.339794754846,78.1128848347,17,0.390098431442,1.20835254038,0.0274994827254,0.0970289857628,-43.1145600116,0.899112569779,20,3,20,200,50,0.5,2.5,2
T2-M5-0008-2b0494cdd24b,830,1.10572933392,0.0610356680279,50.6596044631,-56.4226125008,0.89785995752,0.302409638554,121.120481928,18,0.456994680204,1.55704905772,0.0276197293865,0.115286672292,-10.4197211294,0.978253478559,20,3,20,200,50,0.5,2.5,3
T2-M5-0009-92427c2b03f4,779,1.25890038372,0.154213811153,120.132558888,-42.8699626749,2.80225480481,0.304236200257,166.976893453,19,0.478428229406,1.82708870509,0.0230130312135,0.10355106425,59.6438985134,1.1285399092,20,3,20,200,50,0.5,2.5,4
T2-M5-0010-ad8418b22c05,951,1.08734421347,0.0481771789659,45.8164971966,-52.0489014378,0.880258678491,0.310199789695,120.32597266,19,0.454069815632,1.48534773844,0.0256554570716,0.107087662972,-15.2628283959,0.970903062802,20,3,20,200,50,0.5,3,3
T2-M5-0011-37b94d2fd3b2,804,1.08259243956,0.048265592113,38.8055360588,-57.1696783301,0.67877828234,0.299751243781,122.176616915,19,0.462698537791,1.55263650517,0.0287684302947,0.120081429811,-22.2737895337,0.952593191519,20,3,20,200,50,0.7,2.5,3
T2-M5-0012-f533275fb390,827,1.09194732204,0.0536463135103,44.365501273,-58.400821466,0.759672555271,0.313180169287,130.622732769,17,0.472494253569,1.57658556263,0.0277732403928,0.115927437914,-16.7138243195,0.965360666662,20,3,20,200,60,0.5,2.5,3
T2-M5-0013-2fa976bb392d,815,1.12107287901,0.0697121796362,56.8154264035,-53.2005618709,1.06794786381,0.306748466258,122.355828221,16,0.460587881978,1.57330580612,0.0278151432966,0.11610234355,-4.26389918902,0.990913690466,20,3,20,250,50,0.5,2.5,3
T2-M5-0014-26fb9b19bd4f,732,1.05485890821,0.0320160434258,23.4357437877,-51.4296045429,0.455685864124,0.293715846995,116.482240437,15,0.456972205544,1.50050354322,0.0324719666713,0.135540248346,-37.6435818048,0.911883069822,20,3,25,200,50,0.5,2.5,3
T2-M5-0015-06f7457aa579,625,1.15777773674,0.0888541525385,55.5338453365,-28.2728930491,1.96420809289,0.2896,99.176,25,0.431280015914,1.52333466583,0.0359085054823,0.149884600464,-5.54548025597,0.984244683244,20,3,30,200,50,0.5,2.5,3
T2-M5-0016-6849cb8732c4,912,1.07098594152,0.0411835195451,37.5593698251,-41.950434888,0.895327305315,0.304824561404,124.424342105,15,0.463117380973,1.53104598378,0.02582288901,0.109227313121,-24.336400261,0.954005024741,20,4,20,200,50,0.5,2.5,3
T2-M5-0017-ddab5bab2879,574,1.0322240044,0.0190655294553,10.9436139073,-41.4118902098,0.264262603129,0.308362369338,132.56097561,19,0.479268384002,1.54931704628,0.0370335605092,0.131906512475,-35.2967716719,0.89606693589,25,3,20,200,50,0.5,2.5,3
T2-M5-0018-f1f384e0c476,376,1.10269639323,0.0619619884964,23.2977076747,-24.0830533147,0.967390113299,0.311170212766,132.686170213,14,0.489789363977,1.64141143105,0.0391133061581,0.159325011785,-16.5586781083,0.927009277386,30,3,20,200,50,0.5,2.5,3
