parameter,value,configurations,positive_share,mean_expectancy_R,min_expectancy_R,max_expectancy_R
ema_period,50,1,1,0.0793852370016,0.0793852370016,0.0793852370016
ema_period,75,18,1,0.0617318670916,0.0180125379503,0.102091322992
ema_period,100,1,1,0.0679309573251,0.0679309573251,0.0679309573251
ema_period,150,1,1,0.0767526963568,0.0767526963568,0.0767526963568
ema_period,200,1,1,0.0724737157446,0.0724737157446,0.0724737157446
adx_threshold,15,1,1,0.0345733843233,0.0345733843233,0.0345733843233
adx_threshold,20,19,1,0.0664170017643,0.0180125379503,0.102091322992
adx_threshold,25,1,1,0.0501565972432,0.0501565972432,0.0501565972432
adx_threshold,30,1,1,0.0610631989887,0.0610631989887,0.0610631989887
breakout_period,10,1,1,0.0562068409887,0.0562068409887,0.0562068409887
breakout_period,20,18,1,0.0615422547981,0.0180125379503,0.102091322992
breakout_period,30,1,1,0.0871985667489,0.0871985667489,0.0871985667489
breakout_period,40,1,1,0.0797008298455,0.0797008298455,0.0797008298455
breakout_period,55,1,1,0.0768493901272,0.0768493901272,0.0768493901272
atr_average_period,10,1,1,0.0632371395963,0.0632371395963,0.0632371395963
atr_average_period,20,19,1,0.0673755973923,0.0237292632714,0.102091322992
atr_average_period,30,1,1,0.0463301860762,0.0463301860762,0.0463301860762
atr_average_period,50,1,1,0.0180125379503,0.0180125379503,0.0180125379503
stop_atr,1.5,1,1,0.0750063500794,0.0750063500794,0.0750063500794
stop_atr,2,19,1,0.0636845482471,0.0180125379503,0.102091322992
stop_atr,2.5,1,1,0.0639070001316,0.0639070001316,0.0639070001316
stop_atr,3,1,1,0.0587964471708,0.0587964471708,0.0587964471708
trail_atr,2,1,1,0.0237292632714,0.0237292632714,0.0237292632714
trail_atr,2.5,1,1,0.040555696185,0.040555696185,0.040555696185
trail_atr,3,18,1,0.0636096103219,0.0180125379503,0.0871985667489
trail_atr,3.5,1,1,0.102091322992,0.102091322992,0.102091322992
trail_atr,4,1,1,0.0963669458334,0.0963669458334,0.0963669458334
