group,metric,trades,mean,median,p05,p95
ALL,MAE_R,437,0.471856168668,0.480898508097,0,0.912890730101
ALL,MFE_R,437,1.74859674421,0.821914786518,0,4.92070393012
WINNERS,MAE_R,146,0.365673941232,0.350517743734,0.0260659557362,0.826624185893
WINNERS,MFE_R,146,4.14261330037,2.57542515834,1.04557593802,10.3168740523
LOSERS,MAE_R,291,0.525129726076,0.579050242386,0,0.931849910125
LOSERS,MFE_R,291,0.547475035624,0.442655605529,0,1.43314056694
EXIT:ATR_TRAILING_STOP,R_result,286,0.995006785491,0.0501545649036,-0.951676519114,4.6424989769
EXIT:EMA50_TREND_LOSS,R_result,35,-0.613921678201,-0.609836228959,-0.894408997515,-0.290097091863
EXIT:INITIAL_STOP,R_result,116,-1.06097718264,-1.00173526123,-1.1749604824,-1.00000082215
ALL,holding_hours,437,17.0080091533,13,1,65.6
