strategy,direction,trades,PF_R_C0,PF_R_C1,expectancy_C0,expectancy_C1,net_R_C1,winrate_C1
T1,LONG,14,1.09215017226,1.04804137331,0.0473486627542,0.0255874749771,0.35822464968,0.142857142857
T1,SHORT,14,0.500904447047,0.473139637286,-0.223997411547,-0.245450515238,-3.43630721333,0.285714285714
T2,LONG,68,2.99558705422,2.90047471433,0.758645920014,0.740126742774,50.3286185086,0.441176470588
T2,SHORT,27,1.06348033226,1.01811582483,0.0320601122699,0.00942939886036,0.25459376923,0.296296296296
T3,LONG,74,1.87424157493,1.82804433183,0.367236437916,0.354394902175,26.2252227609,0.432432432432
T3,SHORT,35,2.55121885206,2.47893813857,0.7122576871,0.694001703392,24.2900596187,0.428571428571
R1,LONG,29,1.38143472155,1.24821628085,0.113729382205,0.0783254208065,2.27143720339,0.551724137931
R1,SHORT,31,0.358605492719,0.312069751424,-0.307166925968,-0.34820130047,-10.7942403146,0.387096774194
R2,LONG,72,1.56315504342,1.34674981389,0.282926355651,0.193913881102,13.9617994394,0.416666666667
R2,SHORT,101,0.817818593571,0.734118312474,-0.12469974761,-0.194382599537,-19.6326425533,0.267326732673
R3,LONG,1853,0.709289855499,0.584961144985,-0.12016604354,-0.186261936509,-345.143368352,0.558553696708
R3,SHORT,1855,0.631259327756,0.520406230392,-0.167622119421,-0.238385697719,-442.205469269,0.514285714286
