strategy,group,trades,mean_MAE_R,median_MAE_R,p75_MAE_R,p90_MAE_R,mean_MFE_R,median_MFE_R,p75_MFE_R,p90_MFE_R
T1,ALL,28,0.613763814485,0.655355698966,0.950255210267,1,1.32985217058,0.925973268667,1.65580033363,2.74848251095
T1,WINNERS,6,0.248587311979,0.216725993878,0.322611545882,0.435353412661,3.51857105019,2.84114092617,4.72162505403,5.77968961595
T1,LOSERS,22,0.713357406077,0.76382790706,0.993809646972,1,0.732928839772,0.632726274545,1.03834065178,1.52513430452
T2,ALL,95,0.42196023711,0.45566200676,0.606062661994,0.745790471042,2.06162706068,0.937788152929,2.74953682614,5.29768159258
T2,WINNERS,38,0.335486034294,0.262216223418,0.538780313713,0.694250478533,4.28731349746,3.11628533678,4.9141395658,8.02493144795
T2,LOSERS,57,0.479609705654,0.55516151208,0.636408701454,0.756175765852,0.577836102824,0.394907072526,0.769620952958,1.06419026803
T3,ALL,109,0.553914837162,0.556154397877,0.966321647804,1,2.05162816241,1.22263873946,2.35079492213,4.59892488265
T3,WINNERS,47,0.250647904399,0.178135296342,0.33357898652,0.54981694757,4.03883000249,2.66360081552,4.50360117173,7.14107335833
T3,LOSERS,62,0.783810737806,0.937868027131,1,1,0.545200961057,0.430468621742,0.793100826265,1.25621551674
R1,ALL,60,0.513042488583,0.526037130437,1,1,0.485295308086,0.291997420349,0.6983781564,1.20724894397
R1,WINNERS,28,0.249820681236,0.0483840306045,0.337987405112,0.865030079992,0.64893197048,0.476379130615,0.885410563368,1.44426704868
R1,LOSERS,32,0.743361570011,1,1,1,0.342113228492,0.140649085695,0.349054900672,0.862578676191
R2,ALL,173,0.775138372742,1,1,1,1.37431583664,0.921601556369,2.30377675813,3.12532357681
R2,WINNERS,57,0.410985819014,0.422624209047,0.663787830731,0.865471181039,2.74056291772,2.53068827865,3.38099367238,4.8034305876
R2,LOSERS,116,0.954075403453,1,1,1,0.702970288183,0.487560258562,0.999481256004,1.73921295008
R3,ALL,3708,0.650250161876,0.734736237304,1,1,0.474134368341,0.302873142146,0.61099354681,1.04546149273
R3,WINNERS,1989,0.376562508756,0.350656025973,0.601463365146,0.827730980861,0.546886887043,0.396032299679,0.668609252439,1.08376828061
R3,LOSERS,1719,0.966925404492,1,1,1,0.38995475246,0.168934221009,0.451288677647,0.977028872059
