strategy,year_month,trades,net_R_C1,expectancy_C1,PF_R_C1
T1,2023-02,2,-0.954041914987,-0.477020957493,0
T1,2023-03,4,0.285063576817,0.0712658942044,1.2166939647
T1,2023-04,2,-1.56042751921,-0.780213759606,0
T1,2023-05,1,-1.00343378006,-1.00343378006,0
T1,2023-07,1,4.07030338607,4.07030338607,
T1,2023-08,1,-1.00325007698,-1.00325007698,0
T1,2023-10,1,3.74450763843,3.74450763843,
T1,2023-11,3,-1.51154973307,-0.503849911024,0
T1,2023-12,2,-0.842690945572,-0.421345472786,0
T1,2024-02,1,-0.995201815632,-0.995201815632,0
T1,2024-03,1,1.07154119472,1.07154119472,
T1,2024-07,3,-1.86510697462,-0.621702324874,0
T1,2024-08,1,-0.566960763286,-0.566960763286,0
T1,2024-09,1,0.413810930156,0.413810930156,
T1,2024-10,3,-2.15719302051,-0.71906434017,0
T1,2024-12,1,-0.203452745904,-0.203452745904,0
T2,2023-01,1,-1.037932284,-1.037932284,0
T2,2023-02,3,-1.03451082525,-0.34483694175,0
T2,2023-03,5,-1.02154990407,-0.204309980813,0.405132348719
T2,2023-04,2,6.4405042638,3.2202521319,
T2,2023-05,1,-0.766930138188,-0.766930138188,0
T2,2023-06,5,9.39134997894,1.87826999579,6.44717322368
T2,2023-07,3,0.880177916173,0.293392638724,1.49328237038
T2,2023-08,5,10.4889762958,2.09779525917,11.459146191
T2,2023-09,5,-1.18410476431,-0.236820952862,0.565234420588
T2,2023-10,9,8.46769227001,0.940854696668,6.62980789968
T2,2023-11,2,-2.03842577983,-1.01921288992,0
T2,2023-12,4,-1.41967273696,-0.35491818424,0.389131846644
T2,2024-02,4,-0.906807565197,-0.226701891299,0.56593829926
T2,2024-03,3,-2.59188355234,-0.863961184115,0
T2,2024-04,6,-1.76391483435,-0.293985805726,0.496349602533
T2,2024-05,3,5.99926622022,1.99975540674,6.96393624438
T2,2024-06,4,-2.06214053454,-0.515535133636,0
T2,2024-07,2,-1.98469190304,-0.992345951522,0
T2,2024-08,5,0.440994808969,0.0881989617939,1.26491318972
T2,2024-09,7,5.67346215869,0.810494594099,6.03088612503
T2,2024-10,10,4.00014714382,0.400014714382,1.88609654571
T2,2024-11,6,16.6132060435,2.76886767391,8.11473806497
T3,2023-02,4,-2.91390001026,-0.728475002564,0
T3,2023-03,3,-1.53769247112,-0.512564157042,0
T3,2023-04,6,10.0487594818,1.67479324697,8.34380238661
T3,2023-05,5,5.79581271397,1.15916254279,
T3,2023-06,8,4.76177856723,0.595222320904,2.52941719103
T3,2023-07,5,-2.04299525079,-0.408599050157,0.46151977534
T3,2023-08,8,10.737775578,1.34222194725,5.61128832076
T3,2023-09,3,-1.77616990517,-0.592056635057,0.0497971488188
T3,2023-10,6,-4.35348063823,-0.725580106372,0
T3,2023-11,3,-1.52512564691,-0.508375215635,0.250040285308
T3,2023-12,5,-2.06846507814,-0.413693015628,0.316974231717
T3,2024-01,3,3.41795725566,1.13931908522,4.40454604559
T3,2024-02,4,-3.7532345587,-0.938308639674,0
T3,2024-03,4,-2.01780977934,-0.504452444834,0.130307651066
