strategy,year,trades,PF_R_C0,PF_R_C1,expectancy_C0,expectancy_C1,net_R_C1,winrate_C1,max_DD_R_C1
T1,2023,17,1.19430131127,1.14949269232,0.0906228854619,0.0720282724375,1.22448063144,0.235294117647,-3.23283963744
T1,2024,11,0.27654437377,0.256629899154,-0.364879230541,-0.391142108644,-4.30256319508,0.181818181818,-4.37890257417
T2,2023,45,2.62440339087,2.53843006943,0.62031642856,0.603679428714,27.1655742921,0.4,-3.7951386027
T2,2024,50,2.10028013197,2.02359602596,0.490786126141,0.468352759714,23.4176379857,0.4,-6.26852988777
T3,2023,56,1.60759554466,1.57425570077,0.281563946459,0.270112452507,15.1262973404,0.392857142857,-10.6986351526
T3,2024,53,2.71364502838,2.62673838012,0.68560253684,0.667716698853,35.3889850392,0.471698113208,-9.50322567243
R1,2023,26,0.460663421912,0.403037491156,-0.232177254988,-0.27150736304,-7.05919143903,0.384615384615,-7.05919143903
R1,2024,34,0.984763208062,0.887559362573,-0.00551217621677,-0.0430474021221,-1.46361167215,0.529411764706,-7.27540064503
R2,2023,55,0.933058939321,0.854150389348,-0.0426526461467,-0.0984040699663,-5.41222384815,0.345454545455,-8.71670168794
R2,2024,118,1.14406198704,0.996641146115,0.0857789714943,-0.00219168869277,-0.258619265747,0.322033898305,-14.7592633059
R3,2023,1856,0.618135471589,0.518497676347,-0.158249802744,-0.213535899751,-396.322629939,0.5625,-408.462313124
R3,2024,1852,0.714423674198,0.579785098952,-0.12953297857,-0.211137261167,-391.026207682,0.510259179266,-395.475527358
