split,dimension,category,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate,average_holding_time,losing_streak,top_1_positive_R_concentration,top_5_positive_R_concentration
train,portfolio,COMBINED,955,1.31187275058,0.160579484999,153.353408174,-29.9259818809,5.12442361237,0.349738219895,77.8743455497,15,0.0255110877383,0.0894303323578
train,strategy,T2,366,1.25105540062,0.140957849816,51.5905730328,-23.4212239618,2.20272745425,0.308743169399,78.8661202186,14,0.0504979039069,0.168965475143
train,strategy,T3,589,1.35553675727,0.172772215859,101.762835141,-23.8157624243,4.27291947778,0.375212224109,77.2580645161,14,0.04241511998,0.129116465511
train,instrument,USDRUBF,542,1.56453344486,0.267648225165,145.06533804,-22.5275184022,6.43947262409,0.370848708487,78.8284132841,10,0.040933403796,0.121462074045
train,instrument,CNYRUBF,413,1.03530551008,0.0200679664266,8.28807013417,-21.3103835613,0.388921678031,0.322033898305,76.6222760291,14,0.0534159829628,0.182092434178
train,direction,LONG,519,1.28122817542,0.140385375012,72.8600096311,-27.6648464312,2.63366759733,0.360308285164,80.6069364162,16,0.0391105390168,0.125707012797
train,direction,SHORT,436,1.34599987341,0.184617886566,80.4933985427,-22.5748040584,3.56562999769,0.337155963303,74.621559633,12,0.0525541898935,0.164948131935
test,portfolio,COMBINED,394,1.26922898172,0.133531874919,52.6115587181,-31.4948161473,1.67048311926,0.357868020305,79.6827411168,11,0.0589977172541,0.224386306004
test,strategy,T2,169,1.46552253678,0.24432855427,41.2915256716,-18.0931911077,2.28215826748,0.289940828402,75.8875739645,16,0.112569782825,0.42813720448
test,strategy,T3,225,1.10607589871,0.0503112579846,11.3200330465,-23.2815108054,0.486224160501,0.408888888889,82.5333333333,9,0.0539390740899,0.200545407421
test,instrument,USDRUBF,195,1.52736152677,0.23662598912,46.1420678784,-15.225093719,3.03065903764,0.384615384615,82.6666666667,8,0.109497471626,0.338303897611
test,instrument,CNYRUBF,199,1.05994733404,0.0325100042197,6.46949083972,-23.5984934334,0.274148468757,0.331658291457,76.7587939698,10,0.1005540303,0.355116184467
test,direction,LONG,248,1.37706652795,0.177805977633,44.095882453,-20.7254614548,2.12761884936,0.383064516129,83.3064516129,9,0.0908656149937,0.313700082358
test,direction,SHORT,146,1.1085199185,0.0583265497613,8.51567626515,-29.8312657512,0.285461446262,0.315068493151,73.5273972603,13,0.132230247932,0.402713814408
