split,dimension,category,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate,average_holding_time,losing_streak,top_1_positive_R_concentration,top_5_positive_R_concentration
train,portfolio,COMBINED,170,1.66730033505,0.345190701183,58.6824192011,-12.0259501239,4.87964930806,0.347058823529,86.2058823529,9,0.0885421723718,0.308592965127
train,strategy,T2,118,1.82638333659,0.441349187445,52.0792041185,-10.7673331615,4.83677836819,0.338983050847,80.2542372881,10,0.112791391286,0.354203896277
train,strategy,T3,52,1.2649828576,0.126984905435,6.60321508262,-9.21108095551,0.716877325747,0.365384615385,99.7115384615,8,0.344644772008,0.633711166597
train,instrument,USDRUBF,103,1.74586297943,0.345454985246,35.5818634803,-9.35121240775,3.80505349775,0.388349514563,79.6601941748,8,0.0913942403636,0.387254999425
train,instrument,CNYRUBF,67,1.57414921555,0.344784413742,23.1005557207,-6.49546169324,3.55641474182,0.283582089552,96.2686567164,6,0.204977941777,0.607826141011
train,direction,LONG,104,1.70648058635,0.356305180077,37.055738728,-11.5563585871,3.20652378937,0.365384615385,97.8365384615,8,0.14504210091,0.434964932999
train,direction,SHORT,66,1.60939342869,0.327676976864,21.6266804731,-8.26652690977,2.61617493164,0.318181818182,67.8787878788,6,0.190212773793,0.554681042753
test,portfolio,COMBINED,72,1.72576863413,0.373542664914,26.8950718738,-14.7881169685,1.81869482985,0.291666666667,78.6111111111,10,0.228811297162,0.704100455269
test,strategy,T2,59,1.88570487594,0.480025866943,28.3215261497,-13.052597718,2.16979997097,0.254237288136,78.8983050847,10,0.242679565035,0.746776030491
test,strategy,T3,13,0.719263083088,-0.10972725199,-1.42645427587,-3.31758116382,-0.429968162174,0.461538461538,77.3076923077,4,0.509610611793,0.966999886133
test,instrument,USDRUBF,43,2.52685202846,0.713617788719,30.6855649149,-7.36209549117,4.16804766411,0.348837209302,77.6744186047,6,0.28814929778,0.807818866839
test,instrument,CNYRUBF,29,0.77650511192,-0.130706656591,-3.79049304113,-8.40224753597,-0.451128465914,0.206896551724,80,10,0.573810848041,0.990842243134
test,direction,LONG,46,2.31042584987,0.639792562631,29.430457881,-9.08739584179,3.23860194861,0.304347826087,91.0869565217,7,0.282005738809,0.836472025213
test,direction,SHORT,26,0.826327551049,-0.0975148464321,-2.53538600723,-7.15576763376,-0.354313630207,0.269230769231,56.5384615385,8,0.429101035417,0.955783475268
