trade_id,strategy_id,symbol,direction,pullback_time,confirmation_time,entry_time,entry_price,initial_stop,initial_risk_points,initial_risk_ticks,exit_time,exit_price,exit_reason,bars_held,gross_R,cost_R_C1,net_R_C1,MAE_R,MFE_R,impulse_reference_time,setup_age_bars,quantity,fold,fold_start_state
GD-000001,T2_Trend_Pullback_Continuation_v1.0,GD,SHORT,2024-01-22 16:00:00+03:00,2024-01-22 17:00:00+03:00,2024-01-22 17:00:00+03:00,2132.53781122,2138.93350242,6.39569120481,6395.69120481,2024-01-23 09:00:00+03:00,2137.51117702,EMA50_TREND_LOSS,8,-0.777611933225,0.000312710532131,-0.777924643757,0.437406712439,1.26361939149,2024-01-22 14:00:00+03:00,1,156.355266065,WF01,FLAT
MIX-000001,T2_Trend_Pullback_Continuation_v1.0,MIX,SHORT,2024-01-25 11:00:00+03:00,2024-01-25 14:00:00+03:00,2024-01-25 14:00:00+03:00,452575.302602,455331.159774,2755.85717194,2755857.17194,2024-01-26 11:00:00+03:00,454776.986676,ATR_TRAILING_STOP,13,-0.798910805767,7.25727015306e-07,-0.798911531494,0.762941053563,0,2024-01-25 09:00:00+03:00,3,0.362863507653,WF01,FLAT
NG-000001,T2_Trend_Pullback_Continuation_v1.0,NG,SHORT,2024-01-26 14:00:00+03:00,2024-01-26 17:00:00+03:00,2024-01-26 17:00:00+03:00,4.41545563044,4.64387137593,0.228415745485,228.415745485,2024-01-26 22:00:00+03:00,4.54121227815,EMA50_TREND_LOSS,5,-0.550560327771,0.00875596380517,-0.559316291577,0.344100204857,0.695847080933,2024-01-26 10:00:00+03:00,3,4377.98190259,WF01,FLAT
MIX-000002,T2_Trend_Pullback_Continuation_v1.0,MIX,LONG,2024-01-30 10:00:00+03:00,2024-01-30 11:00:00+03:00,2024-01-30 11:00:00+03:00,457481.267942,455678.722492,1802.54545043,1802545.45043,2024-01-30 16:00:00+03:00,456291.579584,ATR_TRAILING_STOP,5,-0.660004638145,1.10954206426e-06,-0.660005747687,0.544337491039,0.816506236559,2024-01-30 00:00:00+03:00,1,0.550338902382,WF01,FLAT
MIX-000003,T2_Trend_Pullback_Continuation_v1.0,MIX,LONG,2024-01-30 17:00:00+03:00,2024-01-30 18:00:00+03:00,2024-01-30 18:00:00+03:00,457691.523599,454962.589129,2728.93447048,2728934.47048,2024-02-01 20:00:00+03:00,460286.776543,ATR_TRAILING_STOP,33,0.951013288126,7.32886781135e-07,0.951012555239,0.398075112625,1.77207630781,2024-01-30 14:00:00+03:00,1,0.361116606678,WF01,FLAT
MIX-000004,T2_Trend_Pullback_Continuation_v1.0,MIX,LONG,2024-02-02 12:00:00+03:00,2024-02-02 15:00:00+03:00,2024-02-02 15:00:00+03:00,462071.849796,459815.587728,2256.26206764,2256262.06764,2024-02-08 11:00:00+03:00,463935.888691,ATR_TRAILING_STOP,58,0.826162404473,8.86421851736e-07,0.826161518052,0.714438301897,1.55312674326,2024-02-02 00:00:00+03:00,3,0.44092193555,WF01,FLAT
CNY-000001,T2_Trend_Pullback_Continuation_v1.0,CNY,LONG,2024-02-07 16:00:00+03:00,2024-02-07 18:00:00+03:00,2024-02-07 18:00:00+03:00,15.4140146859,15.3148790007,0.0991356852068,99.1356852068,2024-02-08 13:00:00+03:00,15.3496287173,ATR_TRAILING_STOP,11,-0.649473178815,0.0201743700649,-0.66964754888,0.63091447116,0.291191294382,2024-02-07 15:00:00+03:00,2,10087.1850325,WF01,FLAT
MIX-000005,T2_Trend_Pullback_Continuation_v1.0,MIX,LONG,2024-02-13 18:00:00+03:00,2024-02-13 20:00:00+03:00,2024-02-13 20:00:00+03:00,463123.128083,461769.302414,1353.82566892,1353825.66892,2024-02-14 16:00:00+03:00,462497.376027,ATR_TRAILING_STOP,11,-0.462210216905,1.47729508009e-06,-0.4622116942,0.310609648271,1.44951169193,2024-02-13 14:00:00+03:00,2,0.740903654401,WF01,FLAT
BR-000001,T2_Trend_Pullback_Continuation_v1.0,BR,LONG,2024-02-12 17:00:00+03:00,2024-02-12 18:00:00+03:00,2024-02-12 18:00:00+03:00,55.8808134001,55.222344011,0.658469389023,658.469389023,2024-02-14 19:00:00+03:00,56.2862823387,ATR_TRAILING_STOP,33,0.615774924956,0.00303734696455,0.612737577991,0.258387253315,1.72602685214,2024-02-12 13:00:00+03:00,1,1518.67348228,WF01,FLAT
NG-000002,T2_Trend_Pullback_Continuation_v1.0,NG,SHORT,2024-02-12 17:00:00+03:00,2024-02-12 20:00:00+03:00,2024-02-12 20:00:00+03:00,4.00556425944,4.1084265683,0.102862308852,102.862308852,2024-02-15 17:00:00+03:00,3.6234945956,ATR_TRAILING_STOP,45,3.71437962177,0.0194434678973,3.69493615388,0.0632501841546,4.99676454821,2024-02-12 16:00:00+03:00,3,9667.35870684,WF01,FLAT
Si-000001,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2024-02-16 12:00:00+03:00,2024-02-16 15:00:00+03:00,2024-02-16 15:00:00+03:00,125919.401423,125274.248736,645.152686994,645152.686994,2024-02-16 18:00:00+03:00,125274.248736,INITIAL_STOP,3,-1,3.10004133955e-06,-1.00000310004,0.763190856869,0.127897368871,2024-02-16 10:00:00+03:00,3,1.55002066977,WF01,FLAT
GD-000002,T2_Trend_Pullback_Continuation_v1.0,GD,SHORT,2024-02-15 18:00:00+03:00,2024-02-15 20:00:00+03:00,2024-02-15 20:00:00+03:00,2089.84975475,2099.5959598,9.74620504628,9746.20504628,2024-02-16 19:00:00+03:00,2093.9663363,ATR_TRAILING_STOP,15,-0.422377892709,0.000205208077452,-0.422583100787,0.765431126034,0.680383223141,2024-02-15 16:00:00+03:00,2,101.805856623,WF01,FLAT
NG-000003,T2_Trend_Pullback_Continuation_v1.0,NG,SHORT,2024-02-16 23:00:00+03:00,2024-02-19 09:00:00+03:00,2024-02-19 09:00:00+03:00,3.41568148816,3.55324818251,0.137566694358,137.566694358,2024-02-20 14:00:00+03:00,3.47699525747,ATR_TRAILING_STOP,21,-0.445702134506,0.014538402695,-0.460240537201,0.299527779714,0.204940059805,2024-02-16 16:00:00+03:00,2,7495.63358802,WF01,FLAT
CNY-000002,T2_Trend_Pullback_Continuation_v1.0,CNY,LONG,2024-02-19 10:00:00+03:00,2024-02-19 12:00:00+03:00,2024-02-19 12:00:00+03:00,15.4946029796,15.4076755484,0.0869274311666,86.9274311666,2024-02-21 16:00:00+03:00,15.4774172257,ATR_TRAILING_STOP,36,-0.197702309188,0.0230076970314,-0.220710006219,0.470456235569,0.664173509038,2024-02-19 09:00:00+03:00,2,11426.8132761,WF01,FLAT
BR-000002,T2_Trend_Pullback_Continuation_v1.0,BR,LONG,2024-02-21 21:00:00+03:00,2024-02-21 23:00:00+03:00,2024-02-21 23:00:00+03:00,56.581790599,56.1811960112,0.400594587816,400.594587816,2024-02-22 17:00:00+03:00,56.1975261541,ATR_TRAILING_STOP,10,-0.959235238329,0.00499257868386,-0.964227817013,0.492673935983,0.645572743702,2024-02-21 20:00:00+03:00,2,2511.58504478,WF01,FLAT
Si-000002,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2024-02-22 18:00:00+03:00,2024-02-22 19:00:00+03:00,2024-02-22 19:00:00+03:00,125824.713994,125233.352741,591.36125297,591361.25297,2024-02-26 10:00:00+03:00,125770.606892,EMA50_TREND_LOSS,7,-0.0914958532464,3.38202746621e-06,-0.0914992352739,0.0640470972725,1.36786300603,2024-02-22 14:00:00+03:00,1,1.67410354335,WF01,FLAT
BR-000003,T2_Trend_Pullback_Continuation_v1.0,BR,LONG,2024-03-04 16:00:00+03:00,2024-03-04 17:00:00+03:00,2024-03-04 17:00:00+03:00,57.8915190319,57.3937654665,0.497753565342,497.753565342,2024-03-04 21:00:00+03:00,57.3937654665,INITIAL_STOP,4,-1,0.00401805258517,-1.00401805259,0.994064819254,0.331354939751,2024-03-04 14:00:00+03:00,1,2001.84606425,WF01,FLAT
MIX-000006,T2_Trend_Pullback_Continuation_v1.0,MIX,LONG,2024-03-05 11:00:00+03:00,2024-03-05 13:00:00+03:00,2024-03-05 13:00:00+03:00,464945.343781,463033.277624,1912.06615664,1912066.15664,2024-03-06 10:00:00+03:00,464652.251169,ATR_TRAILING_STOP,12,-0.153285811007,1.0459889126e-06,-0.153286856996,0.183270905396,1.11795252292,2024-03-05 10:00:00+03:00,2,0.522167157969,WF01,FLAT
MIX-000007,T2_Trend_Pullback_Continuation_v1.0,MIX,LONG,2024-03-06 11:00:00+03:00,2024-03-06 14:00:00+03:00,2024-03-06 14:00:00+03:00,465996.622068,463553.642268,2442.97979933,2442979.79933,2024-03-07 12:00:00+03:00,465231.584183,ATR_TRAILING_STOP,14,-0.313157679379,8.18672344546e-07,-0.313158498051,0.301228361028,0.588112514389,2024-03-06 00:00:00+03:00,3,0.408062198192,WF01,FLAT
Si-000003,T2_Trend_Pullback_Continuation_v1.0,Si,SHORT,2024-03-07 11:00:00+03:00,2024-03-07 12:00:00+03:00,2024-03-07 12:00:00+03:00,123306.028377,123803.683244,497.654866937,497654.866937,2024-03-07 13:00:00+03:00,123600.912085,EMA50_TREND_LOSS,1,-0.592546617679,4.01884947355e-06,-0.592550636528,0,0,2024-03-06 20:00:00+03:00,1,1.98751020499,WF01,FLAT
MIX-000008,T2_Trend_Pullback_Continuation_v1.0,MIX,SHORT,2024-03-22 14:00:00+03:00,2024-03-22 15:00:00+03:00,2024-03-22 15:00:00+03:00,456883.572955,460076.896658,3193.32370291,3193323.70291,2024-03-25 11:00:00+03:00,451923.240536,ATR_TRAILING_STOP,12,1.55334469059,6.2630669048e-07,1.55334406428,0.0963105140842,2.98562593661,2024-03-22 13:00:00+03:00,1,0.311201106101,WF01,FLAT
