trade_id,strategy_id,symbol,direction,pullback_time,confirmation_time,entry_time,entry_price,initial_stop,initial_risk_points,initial_risk_ticks,exit_time,exit_price,exit_reason,bars_held,gross_R,cost_R_C1,net_R_C1,MAE_R,MFE_R,impulse_reference_time,setup_age_bars,quantity,fold,fold_start_state
NG-000001,T2_Trend_Pullback_Continuation_v1.0,NG,LONG,2024-01-11 23:00:00+03:00,2024-01-12 09:00:00+03:00,2024-01-12 09:00:00+03:00,5.49661347666,5.38370249449,0.112910982176,112.910982176,2024-01-15 09:00:00+03:00,5.50185333699,ATR_TRAILING_STOP,31,0.0464070032866,0.0177130688393,0.0286939344473,0.448601031771,3.37224223883,2024-01-11 22:00:00+03:00,3,8856.53441966,WF01,FLAT
Si-000001,T2_Trend_Pullback_Continuation_v1.0,Si,SHORT,2024-01-12 17:00:00+03:00,2024-01-12 17:30:00+03:00,2024-01-12 17:30:00+03:00,121335.177171,121792.706156,457.528985424,457528.985424,2024-01-15 16:00:00+03:00,121077.612455,ATR_TRAILING_STOP,28,0.562947320026,4.37130775036e-06,0.562942948718,0.839641726322,2.06953946629,2024-01-12 13:30:00+03:00,1,2.18565387518,WF01,FLAT
GD-000001,T2_Trend_Pullback_Continuation_v1.0,GD,LONG,2024-01-12 20:30:00+03:00,2024-01-12 21:30:00+03:00,2024-01-12 21:30:00+03:00,2169.3199958,2162.08536051,7.23463529132,7234.63529132,2024-01-15 18:30:00+03:00,2169.9804338,ATR_TRAILING_STOP,25,0.0912883614049,0.00027644793683,0.0910119134681,0.229146119181,1.30326855284,2024-01-12 19:30:00+03:00,2,138.223968415,WF01,FLAT
CNY-000001,T2_Trend_Pullback_Continuation_v1.0,CNY,SHORT,2024-01-15 16:00:00+03:00,2024-01-15 17:00:00+03:00,2024-01-15 17:00:00+03:00,14.8859809405,14.9287038437,0.04272290319,42.72290319,2024-01-16 12:30:00+03:00,14.8979697249,ATR_TRAILING_STOP,22,-0.280617268875,0.0468132980361,-0.327430566911,0.478613916433,1.26691919056,2024-01-15 15:30:00+03:00,2,23406.6490181,WF01,FLAT
NG-000002,T2_Trend_Pullback_Continuation_v1.0,NG,SHORT,2024-01-17 17:30:00+03:00,2024-01-17 18:30:00+03:00,2024-01-17 18:30:00+03:00,4.91324236093,4.98020135314,0.0669589922035,66.9589922035,2024-01-17 19:30:00+03:00,4.98020135314,INITIAL_STOP,2,-1,0.0298690278062,-1.02986902781,0.678207979049,0.0521698445422,2024-01-17 17:00:00+03:00,2,14938.7992027,WF01,FLAT
BR-000001,T2_Trend_Pullback_Continuation_v1.0,BR,SHORT,2024-01-17 19:00:00+03:00,2024-01-17 20:00:00+03:00,2024-01-17 20:00:00+03:00,52.6384519926,53.0457786957,0.407326703035,407.326703035,2024-01-17 22:00:00+03:00,52.9714777057,EMA50_TREND_LOSS,4,-0.817588708467,0.0049100635561,-0.822498772023,0.53393548308,0.216911290001,2024-01-17 18:00:00+03:00,2,2455.03177805,WF01,FLAT
CNY-000002,T2_Trend_Pullback_Continuation_v1.0,CNY,SHORT,2024-01-22 19:30:00+03:00,2024-01-22 20:00:00+03:00,2024-01-22 20:00:00+03:00,14.9136455786,14.9750686879,0.0614231092459,61.4231092459,2024-01-22 23:00:00+03:00,14.9664426086,ATR_TRAILING_STOP,6,-0.859562965512,0.0325610348378,-0.89212400035,0.117494249515,0.0783294996763,2024-01-22 17:00:00+03:00,1,16227.2100284,WF01,FLAT
Si-000002,T2_Trend_Pullback_Continuation_v1.0,Si,SHORT,2024-01-22 15:00:00+03:00,2024-01-22 16:00:00+03:00,2024-01-22 16:00:00+03:00,120776.521339,121071.796155,295.274816664,295274.816664,2024-01-22 23:00:00+03:00,121071.796155,INITIAL_STOP,14,-1,6.7733510856e-06,-1.00000677335,0.971188962378,0.366486400898,2024-01-22 14:30:00+03:00,2,3.40574059396,WF01,FLAT
NG-000003,T2_Trend_Pullback_Continuation_v1.0,NG,SHORT,2024-01-22 21:30:00+03:00,2024-01-22 23:00:00+03:00,2024-01-22 23:00:00+03:00,4.2303138991,4.32604825885,0.0957343597435,95.7343597435,2024-01-23 22:00:00+03:00,4.2047408656,ATR_TRAILING_STOP,29,0.267124923337,0.020891140917,0.24623378242,0.383133311225,1.58726657508,2024-01-22 19:30:00+03:00,3,10340.961141,WF01,FLAT
CNY-000003,T2_Trend_Pullback_Continuation_v1.0,CNY,LONG,2024-01-24 17:30:00+03:00,2024-01-24 19:00:00+03:00,2024-01-24 19:00:00+03:00,15.1157177181,15.0383607433,0.0773569747749,77.3569747749,2024-01-25 09:30:00+03:00,15.059250195,ATR_TRAILING_STOP,12,-0.729960332794,0.0258541651327,-0.755814497926,0.715246122831,0,2024-01-24 17:00:00+03:00,3,12769.8073518,WF01,FLAT
Si-000003,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2024-01-25 12:00:00+03:00,2024-01-25 13:30:00+03:00,2024-01-25 13:30:00+03:00,122309.105015,121791.529132,517.575882775,517575.882775,2024-01-25 21:30:00+03:00,122524.756505,ATR_TRAILING_STOP,16,0.416656759856,3.86416768354e-06,0.416652895688,0.491335454037,1.47139287565,2024-01-25 11:00:00+03:00,3,1.9235306362,WF01,FLAT
BR-000002,T2_Trend_Pullback_Continuation_v1.0,BR,LONG,2024-01-25 16:30:00+03:00,2024-01-25 17:00:00+03:00,2024-01-25 17:00:00+03:00,55.1667288346,54.8006948744,0.366033960257,366.033960257,2024-01-26 13:30:00+03:00,55.5799996621,ATR_TRAILING_STOP,24,1.12905050442,0.00546397388536,1.12358653054,0.278516908057,2.52521996638,2024-01-25 15:30:00+03:00,1,2709.51638362,WF01,FLAT
MIX-000001,T2_Trend_Pullback_Continuation_v1.0,MIX,LONG,2024-01-29 18:00:00+03:00,2024-01-29 19:30:00+03:00,2024-01-29 19:30:00+03:00,456605.202703,455664.222073,940.98062931,940980.62931,2024-01-30 13:30:00+03:00,457054.764845,ATR_TRAILING_STOP,18,0.477759188945,2.12544226491e-06,0.477757063503,0.893772521446,2.4951149557,2024-01-29 16:00:00+03:00,3,1.06272113246,WF01,FLAT
GD-000002,T2_Trend_Pullback_Continuation_v1.0,GD,LONG,2024-01-29 18:00:00+03:00,2024-01-29 19:30:00+03:00,2024-01-29 19:30:00+03:00,2144.03871964,2138.58301542,5.45570421381,5455.70421381,2024-01-30 14:30:00+03:00,2146.32691907,ATR_TRAILING_STOP,21,0.419414128874,0.000366588788838,0.419047540085,0.322854817492,1.99410328451,2024-01-29 17:30:00+03:00,3,183.461214155,WF01,FLAT
