trade_id,strategy,symbol,direction,entry_time,entry_price,initial_stop,initial_risk,exit_time,exit_price,exit_reason,bars_held,gross_profit,gross_R,MAE_points,MFE_points,MAE_R,MFE_R,profit_points,profit_R,quantity,costs,net_profit,tick_size,initial_risk_ticks,cost_R,strategy_id,initial_risk_points,net_R_C1,fold,fold_start_state
GD-000001,T3_MTF_Trend_v1.0,GD,SHORT,2024-01-22 12:00:00+03:00,2127.46083363,2135.02090593,7.56007230477,2024-01-22 15:30:00+03:00,2135.02090593,ATR_TRAILING_STOP,7,-1000,-1.00026454773,7.56007230477,0.621670725262,1,0.0822307909501,-7.56007230477,-1.00026454773,132.273867192,0.264547734383,-1000.26454773,0.001,7560.07230477,0.000264547734383,T3_MTF_Trend_v1.0,7.56007230477,-1.00052909547,WF01,FLAT
MIX-000001,T3_MTF_Trend_v1.0,MIX,SHORT,2024-01-24 14:30:00+03:00,453556.49567,455140.626775,1584.13110523,2024-01-24 17:00:00+03:00,455140.626775,ATR_TRAILING_STOP,5,-1000,-1.00000126252,1584.13110523,490.596533986,1,0.309694401155,-1584.13110523,-1.00000126252,0.631260882825,0.00126252176565,-1000.00126252,0.001,1584131.10523,1.26252176565e-06,T3_MTF_Trend_v1.0,1584.13110523,-1.00000252504,WF01,FLAT
NG-000001,T3_MTF_Trend_v1.0,NG,LONG,2024-01-25 14:30:00+03:00,4.99358688585,4.87344115231,0.120145733546,2024-01-25 16:30:00+03:00,4.87344115231,ATR_TRAILING_STOP,4,-1000,-1.01664645045,0.120145733546,0.0366790222466,1,0.305287763153,-0.120145733546,-1.01664645045,8323.22522396,16.6464504479,-1016.64645045,0.001,120.145733546,0.0166464504479,T3_MTF_Trend_v1.0,0.120145733546,-1.0332929009,WF01,FLAT
BR-000001,T3_MTF_Trend_v1.0,BR,LONG,2024-01-25 18:00:00+03:00,55.3910114577,54.9907277606,0.400283697108,2024-01-26 13:30:00+03:00,55.5799996621,ATR_TRAILING_STOP,22,472.135652163,0.467139195864,0.326229269935,0.700033641735,0.814995145422,1.74884374955,0.188988204385,0.467139195864,2498.22814974,4.99645629949,467.139195864,0.001,400.283697108,0.00499645629949,T3_MTF_Trend_v1.0,0.400283697108,0.462142739564,WF01,FLAT
NG-000002,T3_MTF_Trend_v1.0,NG,SHORT,2024-01-26 17:00:00+03:00,4.41545563044,4.56265107037,0.147195439923,2024-01-26 21:30:00+03:00,4.50045440178,ATR_TRAILING_STOP,9,-571.584516392,-0.591042571568,0.084998771335,0.158942429735,0.577455194126,1.0798053922,-0.084998771335,-0.591042571568,6724.62092586,13.4492418517,-585.033758244,0.001,147.195439923,0.0135873774422,T3_MTF_Trend_v1.0,0.147195439923,-0.60462994901,WF01,FLAT
CNY-000001,T3_MTF_Trend_v1.0,CNY,LONG,2024-01-26 12:00:00+03:00,15.2023200636,15.1435266781,0.0587933854913,2024-01-29 10:30:00+03:00,15.2251496776,ATR_TRAILING_STOP,28,388.302422731,0.354284990612,0.0108252931855,0.0817911040686,0.184124338054,1.3911616653,0.0228296140268,0.354284990612,17008.7160595,34.017432119,354.284990612,0.001,58.7933854913,0.034017432119,T3_MTF_Trend_v1.0,0.0587933854913,0.320267558493,WF01,FLAT
Si-000001,T3_MTF_Trend_v1.0,Si,LONG,2024-01-26 12:00:00+03:00,123285.738213,122824.506525,461.231687707,2024-01-29 10:30:00+03:00,123690.80676,ATR_TRAILING_STOP,28,878.232259441,0.878227923225,56.8124575383,890.061834766,0.123175529896,1.92974996838,405.06854722,0.878227923225,2.16810775724,0.00433621551447,878.227923225,0.001,461231.687707,4.33621551447e-06,T3_MTF_Trend_v1.0,461.231687707,0.87822358701,WF01,FLAT
BR-000002,T3_MTF_Trend_v1.0,BR,LONG,2024-01-29 09:00:00+03:00,56.9134147174,56.4289766464,0.484438070973,2024-01-29 13:00:00+03:00,56.5053986198,ATR_TRAILING_STOP,8,-846.180606463,-0.846374639278,0.408016097572,0.22428262308,0.842246144596,0.462974808379,-0.408016097572,-0.846374639278,2073.89024967,4.14778049933,-850.328386962,0.001,484.438070973,0.00412849468247,T3_MTF_Trend_v1.0,0.484438070973,-0.850503133961,WF01,FLAT
BR-000003,T3_MTF_Trend_v1.0,BR,LONG,2024-01-30 21:30:00+03:00,56.6007783337,56.0904172932,0.510361040538,2024-01-31 10:00:00+03:00,56.0904172932,ATR_TRAILING_STOP,8,-996.168108089,-1.00391879442,0.510361040538,0.0135928862473,1,0.0266338634175,-0.510361040538,-1.00391879442,1951.88901378,3.90377802757,-1000.07188612,0.001,510.361040538,0.00391879442422,T3_MTF_Trend_v1.0,0.510361040538,-1.00783758885,WF01,FLAT
GD-000002,T3_MTF_Trend_v1.0,GD,LONG,2024-01-31 18:00:00+03:00,2156.16129878,2149.67252994,6.48876884427,2024-01-31 19:30:00+03:00,2151.37737613,ATR_TRAILING_STOP,3,-729.887423286,-0.737570218512,4.78392265435,5.07697758963,0.737261993632,0.782425404799,-4.78392265435,-0.737570218512,152.570908023,0.305141816046,-730.192565102,0.001,6488.76884427,0.000308224880251,T3_MTF_Trend_v1.0,6.48876884427,-0.737878443392,WF01,FLAT
