candidate_id,sweep_atr,reclaim_bars,inside_ticks,stop_pad_ticks,target_r,executed_trades,base_pf,base_exp,stress_pf,stress_exp,base_days,base_pos_months,stress_pos_months,base_largest_winner_share,base_dd,research_survivor
C15-48238307094fa0e5,0.5,2,1,1,2.0,34,1.199118759,2.031041738,1.022576684,0.252093646,30,3,3,0.16757156,101.317338094,False
C15-b40a4d003574066f,0.5,2,1,2,2.0,34,1.147043852,1.550271905,0.980132221,-0.228656022,30,3,2,0.173829524,105.753351777,False
C15-ec8670e92eb43241,0.5,2,1,1,1.5,34,1.135461602,1.381729021,0.964436029,-0.397111072,30,4,2,0.13159017,101.317338094,False
C15-8689ea36e6b8f246,0.5,1,0,1,2.0,29,1.124080005,1.311225553,0.959859191,-0.46342572,26,3,3,0.164852519,91.379176576,False
C15-d775bf8da72e1d2e,0.5,1,1,1,2.0,27,1.119534126,1.299977723,0.959522426,-0.480137373,24,3,3,0.211983958,135.343565495,False
C15-8b356e3476671c2d,0.25,2,1,1,2.0,39,1.104877361,1.073570354,0.93696587,-0.708534015,35,3,2,0.157986747,113.099458428,False
C15-537373f423ff424d,0.5,2,0,1,2.0,36,1.089639787,0.895476792,0.919624431,-0.880076168,32,3,2,0.144919704,97.097346237,False
C15-91bf752270c50094,0.25,2,1,1,1.5,39,1.079797081,0.816837684,0.914130647,-0.965212925,35,4,2,0.120205952,113.099458428,False
C15-16f0ac1f9df08b2e,0.5,1,0,2,2.0,29,1.068325804,0.749380982,0.914170799,-1.025246375,26,3,2,0.167127062,96.670183419,False
C15-b1fa3076d9a46da4,0.5,2,1,2,1.5,34,1.067388191,0.710468459,0.907163783,-1.068441545,30,3,2,0.138933874,105.753351777,False
C15-e48b95fa86e38ce7,0.5,1,1,2,2.0,27,1.064580092,0.728045181,0.914188957,-1.052041496,24,3,2,0.220567594,139.779579177,False
C15-0eb82ac87110024a,0.25,2,1,2,2.0,39,1.057252775,0.608477498,0.899105224,-1.173604923,35,3,2,0.163099286,119.31655561,False
C15-314d42cdbb55a21e,0.5,2,0,1,1.5,36,1.056778269,0.567199276,0.889650506,-1.208277103,32,4,2,0.149426119,97.097346237,False
C15-fa0ae8ee4557ee0e,0.5,1,0,1,1.5,29,1.041449271,0.438018545,0.884230183,-1.336562748,26,4,2,0.177932259,91.379176576,False
C15-3b9831b08807dbd8,0.5,2,0,2,2.0,36,1.040414109,0.417768786,0.879812105,-1.357767179,32,3,1,0.146674529,102.38835308,False
C15-472054ad3666c12a,0.25,2,1,2,1.5,39,1.019617342,0.208491403,0.864715946,-1.573619941,35,3,2,0.125782626,119.31655561,False
