candidate_id,W,width_atr,breakout_ticks,stop_mode,target_r,executed_trades,base_pf,base_exp,stress_pf,stress_exp,base_days,base_pos_months,stress_pos_months,base_largest_winner_share,base_dd,research_survivor
C16-eda8af2caeee1259,8,2.0,1,OPPOSITE,1.5,126,1.498608822,4.130514045,1.255978901,2.347394893,81,4,4,0.053397136,161.94735272,False
C16-568db15a68e19a7f,8,2.0,1,OPPOSITE,2.0,124,1.455657307,3.844859732,1.22042379,2.061427635,81,4,4,0.039902866,192.53937981,False
C16-5970706ef40367fb,6,1.5,1,OPPOSITE,2.0,109,1.345621505,2.96193303,1.12358658,1.174841839,75,4,3,0.045654702,268.888094424,False
C16-97b2f2b55fa7dab9,8,2.5,0,OPPOSITE,2.0,201,1.306866721,2.70929421,1.095324368,0.929354814,92,3,2,0.044995935,272.291419654,False
C16-7515771c0d3936f7,6,1.5,0,OPPOSITE,2.0,119,1.289028276,2.48988556,1.073547637,0.70329015,79,4,3,0.043427112,267.437997875,False
C16-951f6d83a5344bbb,8,2.0,0,OPPOSITE,1.5,141,1.283914239,2.536188777,1.07631592,0.753737638,85,3,3,0.051650129,169.407475621,False
C16-dd63b4ab52cded22,8,2.5,1,OPPOSITE,2.0,187,1.259744647,2.354765367,1.057467264,0.574558951,91,3,2,0.048863194,279.646798214,False
C16-8ed2718bace0003b,8,2.0,0,OPPOSITE,2.0,138,1.254106269,2.320579123,1.053297915,0.538070513,85,3,3,0.038453215,199.999502711,False
C16-259c94eae0ff2de7,8,1.5,1,OPPOSITE,2.0,28,1.231132887,1.962405075,1.017867628,0.170173222,23,3,3,0.207652518,105.804650356,False
C16-672a71354d2dd7d2,8,2.5,0,OPPOSITE,1.5,210,1.202938866,1.774531589,0.9994231,-0.0055872,92,2,2,0.037812865,289.393059552,False
C16-91d7fcf8e6f9d9d4,8,2.5,1,OPPOSITE,1.5,193,1.196443564,1.771572212,0.999092904,-0.009025884,91,2,1,0.040109788,312.592940062,False
C16-59cbd9a22eb85c93,6,1.5,1,OPPOSITE,1.5,112,1.16512592,1.423193383,0.961813766,-0.363904527,75,4,3,0.051023455,303.552731049,False
C16-c30d53346c540507,8,1.5,0,OPPOSITE,2.0,33,1.155517119,1.345557231,0.953879705,-0.446965236,27,3,3,0.184209823,110.349691716,False
C16-7dea8fe366a50b9f,6,1.5,1,MIDPOINT,2.0,118,1.146824843,1.121372514,0.92287676,-0.664344779,75,3,1,0.047428607,180.660563643,False
C16-3fe37bdf0ae2abda,6,1.5,0,OPPOSITE,1.5,123,1.14201276,1.210463708,0.938910698,-0.575822343,79,4,3,0.047930167,301.656503882,False
C16-551443ba7720aaa2,6,1.5,0,MIDPOINT,2.0,130,1.105586055,0.78454224,0.88120059,-1.001096142,79,3,1,0.045901213,185.740393128,False
C16-065766527a4e0729,8,1.5,1,OPPOSITE,1.5,29,1.10162992,0.833121865,0.89566582,-0.959424823,23,3,3,0.17504382,99.904142005,False
C16-6171f31688fc8387,8,2.0,0,MIDPOINT,1.5,162,1.081084243,0.610737293,0.861599524,-1.174526297,85,1,1,0.055740205,138.581678213,False
C16-b47e0f00c08d0e60,6,2.0,1,OPPOSITE,2.0,221,1.063098057,0.612541645,0.891384485,-1.16566274,92,3,2,0.040692575,595.104374622,False
C16-238d2ceb03feeda7,6,1.5,1,MIDPOINT,1.5,119,1.039040421,0.278218251,0.811526444,-1.507134162,75,3,0,0.043979621,176.329506371,False
C16-b5662d25d38bf7b1,4,2.0,1,OPPOSITE,2.0,335,1.031484468,0.30374666,0.862069624,-1.475752985,92,2,1,0.022098206,309.668703178,False
C16-1d74fee4ce3fbc55,6,2.5,0,OPPOSITE,2.0,274,1.027710875,0.265973977,0.857101391,-1.513839327,92,3,2,0.038609714,706.982434682,False
C16-ad931a69aba61126,8,1.5,0,OPPOSITE,1.5,34,1.023745207,0.199404497,0.830602457,-1.59339629,27,3,2,0.156833075,104.449183365,False
C16-2316dd79e54f3836,4,2.5,0,OPPOSITE,2.0,368,1.014102747,0.134961156,0.84473712,-1.644333814,92,2,1,0.037493292,406.709078845,False
C16-c70a15ec3665ca28,8,2.0,1,MIDPOINT,1.5,140,1.010903715,0.087285133,0.811221867,-1.698101811,81,1,1,0.064901909,172.164125291,False
C16-588d4a4c4a8e2c8a,4,2.5,1,OPPOSITE,2.0,350,1.001334245,0.012919918,0.835265465,-1.76679384,92,1,1,0.039456383,411.602963463,False
C16-02a133d61d7ea2b9,8,2.5,0,MIDPOINT,1.5,272,1.000269494,0.002048953,0.793030188,-1.779321848,92,1,1,0.035546121,241.35053768,False
