candidate_id,buffer_atr,retest_bars,touch_ticks,stop_mode,target_r,executed_trades,base_pf,base_exp,stress_pf,stress_exp,base_days,base_pos_months,stress_pos_months,base_largest_winner_share,base_dd,research_survivor
C17-357ae5a27074861f,0.3,1,2,OR_MID,1.5,30,1.746112796,4.664108447,1.406127873,2.867898408,29,4,4,0.174862636,98.544489134,False
C17-6a6765308df6a143,0.3,1,2,OR_MID,2.0,30,1.684899396,4.281450572,1.351942259,2.485263174,29,4,3,0.152900578,98.544489134,False
C17-f5ce27a9b465db70,0.3,1,0,OR_MID,1.5,20,1.630413732,3.593483806,1.276963225,1.802710933,20,3,3,0.190067453,68.495715873,False
C17-ec0866b524fd8a1e,0.3,1,0,RETEST_EXTREME,2.0,20,1.465055045,2.069985515,1.051359004,0.279100553,20,3,2,0.242279974,46.993737309,False
C17-b36cc72f51976c1d,0.3,1,0,OR_MID,2.0,20,1.44622196,2.543554028,1.115656998,0.752793571,20,3,2,0.202004949,68.495715873,False
C17-f5afa53d3131ef92,0.15,1,2,OR_MID,1.5,32,1.417061131,2.723660301,1.12559218,0.929648068,32,4,3,0.119298179,87.705032741,False
C17-98f46403bae12a59,0.15,1,2,OR_MID,2.0,32,1.396864853,2.591766446,1.107767093,0.797704683,32,4,3,0.143780438,87.081848449,False
C17-7c03ca681cb8b569,0.0,3,0,RETEST_EXTREME,1.5,47,1.312246214,2.04265523,1.033935628,0.253782988,44,3,2,0.092672989,62.974342972,False
C17-f3546eb3c5e2d03d,0.3,1,0,RETEST_EXTREME,1.5,20,1.287729778,1.163927577,0.873011927,-0.627107632,20,3,2,0.223260501,36.128065346,False
C17-2530cc3c1d7c43d1,0.15,1,0,OR_MID,1.5,19,1.278163407,1.683363961,0.985266151,-0.103102616,19,2,2,0.240385127,57.033075188,False
C17-347c9072b12a0e6e,0.0,1,0,RETEST_EXTREME,2.0,29,1.273904661,1.839841001,1.00698042,0.05400033,28,2,2,0.203323877,51.422903793,False
C17-c033d9710853124d,0.0,1,0,RETEST_EXTREME,1.5,29,1.241738888,1.430010562,0.947741341,-0.356107259,28,2,2,0.175526721,48.466979129,False
C17-26304c915713b24d,0.0,3,2,RETEST_EXTREME,1.5,60,1.211143217,1.541319516,0.969936581,-0.248756219,56,2,1,0.070485852,95.922139466,False
C17-cb1df28c34598810,0.0,1,0,OR_MID,2.0,29,1.193893689,1.665054941,0.98725456,-0.120941577,28,2,2,0.259087133,71.652058472,False
C17-2869794ced4abada,0.0,2,0,RETEST_EXTREME,1.5,39,1.190273886,1.236817369,0.926320516,-0.548255277,36,3,3,0.123915703,77.961160874,False
C17-8b58fc24cdad55e8,0.0,1,0,OR_MID,1.5,29,1.182828335,1.570031617,0.977238962,-0.215979668,28,2,2,0.194711914,74.355004684,False
C17-c613a8ff0a65eada,0.0,2,2,RETEST_EXTREME,1.5,51,1.178642575,1.294882771,0.94000331,-0.492938943,48,2,2,0.085815643,81.483606586,False
C17-4a869b4f42d0e779,0.3,1,2,RETEST_EXTREME,2.0,30,1.154791798,0.921533086,0.874509615,-0.874779164,29,4,3,0.153206246,85.670625613,False
C17-70f631a7ce3635f4,0.0,2,2,RETEST_EXTREME,2.0,51,1.10651436,0.879529749,0.90300455,-0.908131876,48,3,2,0.108276591,110.431714334,False
C17-97fc039fe0d8a83d,0.15,3,2,OR_MID,2.0,53,1.100580258,0.888569773,0.908599824,-0.898358114,51,2,2,0.115874371,139.934533394,False
C17-6815a34047f98a5d,0.15,1,2,RETEST_EXTREME,2.0,32,1.093502174,0.602165729,0.841180846,-1.191905713,32,3,2,0.140216928,112.567370821,False
C17-66798edb6c9fbcf0,0.15,3,2,OR_MID,1.5,53,1.088631034,0.783005125,0.897864296,-1.003875952,51,2,2,0.112336103,139.934533394,False
C17-59b2553c5e2c16d7,0.0,3,2,OR_MID,2.0,60,1.062769071,0.619802488,0.89228608,-1.170125207,56,2,2,0.122342295,140.182688416,False
C17-6c7b7ed4c9c03e42,0.0,2,0,RETEST_EXTREME,2.0,39,1.059254463,0.463343845,0.852193048,-1.321450539,36,4,4,0.156191335,139.234455568,False
C17-b11a14c77260bfc1,0.15,3,0,RETEST_EXTREME,1.5,38,1.055696537,0.351332917,0.804760108,-1.432890247,36,3,2,0.144579388,61.617436913,False
C17-b6fba3e923492ca8,0.0,3,2,OR_MID,1.5,60,1.052123164,0.514681293,0.882610902,-1.275229265,56,2,2,0.09201353,117.157165624,False
C17-46511fb11ec5bb95,0.15,3,2,RETEST_EXTREME,1.5,53,1.05055019,0.349718905,0.819508688,-1.437319006,51,3,2,0.094979685,125.548058387,False
C17-4c48ca20dfa0aafd,0.3,2,2,OR_MID,1.5,44,1.037518321,0.338475391,0.85471128,-1.449421835,42,3,2,0.139034497,163.577887361,False
C17-595d310512e31739,0.3,2,2,OR_MID,2.0,44,1.034979532,0.315571439,0.852414784,-1.472332022,42,4,3,0.117598118,163.577887361,False
C17-9883671a57d7bf55,0.3,3,0,RETEST_EXTREME,2.0,39,1.032406429,0.203861075,0.786087171,-1.580011612,37,2,2,0.14287669,93.524615843,False
