candidate_id,buffer_atr,reclaim_bars,inside_ticks,target_r,max_hold,executed_trades,base_pf,base_exp,stress_pf,stress_exp,base_days,base_pos_months,stress_pos_months,base_largest_winner_share,base_dd,research_survivor
C18-d67edca2d39566f5,0.3,1,2,1.5,60,36,2.331313471,5.295449662,1.778668693,3.51857819,33,4,4,0.124938418,42.227681678,True
C18-bc25abefffd911ef,0.3,0,2,1.5,60,24,2.44493004,5.552754024,1.850056885,3.766743828,22,4,4,0.184961952,55.37345506,False
C18-07ac026ca7aaea7c,0.3,1,2,2.0,60,36,1.801573575,3.681610385,1.360549412,1.904827333,33,4,3,0.099294282,42.227681678,False
C18-8a4b7efb44a75460,0.3,1,0,1.5,60,53,1.782157493,3.617734428,1.346099188,1.833345234,46,4,4,0.095467878,53.840122118,False
C18-c0326ef7fb677263,0.3,0,2,1.5,120,24,1.777807821,4.560029454,1.425386967,2.774139573,22,3,3,0.166736353,87.620569792,False
C18-3b8a45b6e23bdb0b,0.3,0,0,1.5,60,32,1.735468702,3.414604981,1.303104029,1.625902336,30,4,4,0.161762801,72.854444484,False
C18-4b923c12ced04aa5,0.3,2,0,1.5,60,61,1.726896971,3.515296156,1.310783101,1.729860728,52,4,4,0.083842544,83.524291853,False
C18-22e053ffda224e5b,0.3,2,2,1.5,60,47,1.704641934,3.794976398,1.331539292,2.011996927,42,4,2,0.098986997,71.504507229,False
C18-f6ccd9c493662ccf,0.3,1,2,1.5,120,36,1.692019782,3.786770659,1.321307806,2.009865972,33,4,3,0.125130524,81.52753501,False
C18-69c4bb0465726a5b,0.3,1,2,2.0,120,35,1.638192619,3.828964476,1.296617856,2.049489185,33,4,3,0.162138631,81.52753501,False
C18-a0500e29c5754431,0.3,0,2,2.0,60,24,1.591079603,2.817068319,1.184869484,1.031162748,22,3,3,0.144479857,59.191960595,False
C18-59ff79479c987380,0.3,1,0,1.5,120,53,1.479715484,2.705797008,1.142262808,0.921395633,46,4,3,0.094287937,93.547319633,False
C18-ca73aa4dc0f9af7e,0.15,1,2,1.5,60,47,1.461831144,2.423637079,1.10687755,0.64187534,43,4,4,0.115675732,75.130063032,False
C18-8e3f8329c6d94a1b,0.3,0,2,2.0,120,24,1.451114057,3.094564918,1.169083604,1.308837682,22,3,3,0.178375701,103.486568172,False
C18-378a0f8444988fd9,0.3,2,0,1.5,120,61,1.444190194,2.54061765,1.115062339,0.755193769,52,4,2,0.084766685,126.196158343,False
C18-ad581053146811e2,0.15,2,0,1.5,60,69,1.439196625,2.303680091,1.085397985,0.518463825,58,4,2,0.082000664,95.588839455,False
C18-ddb0f668a4218c8b,0.3,0,0,1.5,120,32,1.433622604,2.670061553,1.127158659,0.881449146,30,3,3,0.147647982,105.101559216,False
C18-5b0a53dfd4c102da,0.15,1,0,1.5,60,63,1.418683653,2.167071162,1.063876645,0.381256731,53,4,2,0.09015886,67.820635867,False
C18-3530672f84d56ae6,0.15,2,2,1.5,60,56,1.389906268,2.295423384,1.076315379,0.510111517,51,4,2,0.09321239,83.114535291,False
C18-5362dcbc4aa5c1de,0.3,2,2,2.0,60,47,1.385929431,2.260398184,1.071748685,0.477427347,42,3,2,0.084062079,71.504507229,False
C18-68d153b176b67e5e,0.3,2,2,1.5,120,47,1.338556563,2.250344941,1.062189954,0.467375593,42,3,2,0.102140347,114.17637372,False
C18-1b872792dd4c81cd,0.3,2,2,2.0,120,46,1.327423555,2.316157832,1.066049942,0.531073888,42,4,2,0.129128911,114.17637372,False
C18-a8deabb94b899acc,0.3,1,0,2.0,60,53,1.287886551,1.609632778,0.972859427,-0.1745876,46,4,3,0.077502243,85.693052588,False
C18-4498b1af3f697160,0.3,0,0,2.0,60,32,1.286422791,1.528079039,0.958140675,-0.260538234,30,3,3,0.119726396,76.672950019,False
C18-1a88dc0ebedc6908,0.3,2,0,2.0,60,61,1.271605857,1.541427388,0.962781783,-0.243882026,52,3,2,0.067190347,76.811681095,False
C18-406f0d8afc98534b,0.3,1,0,2.0,120,52,1.22358502,1.513150612,0.964972804,-0.273038901,46,4,3,0.129530524,115.901561668,False
C18-77d6edc8841e0d72,0.3,2,0,2.0,120,60,1.209941438,1.406174284,0.950589338,-0.380825235,52,3,2,0.114707677,119.483547585,False
C18-20bdbd88d1ee2641,0.15,0,2,1.5,60,30,1.160141372,0.998740652,0.889566947,-0.786983819,27,3,3,0.19214998,93.112422353,False
C18-26e4095660d461c0,0.3,0,0,2.0,120,32,1.153056653,1.109263681,0.917617193,-0.679277018,30,3,3,0.159359705,105.101559216,False
C18-79af736538d616a0,0.15,2,0,1.5,120,69,1.140946079,0.889618316,0.876705352,-0.895652378,58,3,2,0.085957711,145.098312783,False
C18-5285b4dce08f2b7d,0.15,1,0,1.5,120,63,1.110113637,0.707959922,0.854119994,-1.077927614,53,3,2,0.092756882,116.427779384,False
C18-671dfc48e849399a,0.0,1,2,1.5,60,62,1.094136909,0.516661892,0.802714593,-1.267368198,53,3,1,0.112024198,77.961030772,False
C18-08ff37775c346cad,0.15,1,2,1.5,120,47,1.089102992,0.617308322,0.852772468,-1.164537404,43,3,2,0.117610214,128.582990316,False
C18-a17611ddb51d8b2e,0.15,1,2,2.0,60,47,1.081618664,0.493263211,0.814700893,-1.28851064,43,3,3,0.096274641,105.970901183,False
C18-3f0e1f8ec83aacef,0.15,2,2,1.5,120,56,1.075462687,0.550669192,0.850924287,-1.234692238,51,3,2,0.097186933,125.786401781,False
C18-8bd36760a3b9d7a1,0.15,2,2,2.0,60,56,1.064807781,0.424806707,0.818103258,-1.360564919,51,2,2,0.082052666,108.243344828,False
C18-a92cb11462fe1acb,0.0,2,2,1.5,60,66,1.031472768,0.183704302,0.764359223,-1.601799787,57,3,1,0.104962849,76.468754598,False
C18-74063716a810185a,0.15,2,0,2.0,60,69,1.005561363,0.034524977,0.756526255,-1.750643598,58,2,1,0.068669418,116.439498048,False
