strategy_id,instrument,exit_configuration,friction_scenario,month,trades,net_result_ATR,expectancy_ATR,net_result_R,expectancy_R
MOM-01,CNYRUBF,STOP_0.5_TARGET_1.0,BASE,2026-01,8141,-5920.051589178029,-0.7271897296619615,-11840.103178356057,-1.454379459323923
MOM-01,CNYRUBF,STOP_0.5_TARGET_1.0,BASE,2026-02,8053,-6391.350196752233,-0.7936607719796639,-12782.700393504467,-1.5873215439593278
MOM-01,CNYRUBF,STOP_0.5_TARGET_1.0,BASE,2026-03,9816,-5562.158836387565,-0.566642098246492,-11124.31767277513,-1.133284196492984
MOM-01,CNYRUBF,STOP_0.5_TARGET_1.0,BASE,2026-04,9970,-7743.186797171635,-0.7766486255939453,-15486.37359434327,-1.5532972511878906
MOM-01,CNYRUBF,STOP_0.5_TARGET_1.0,BASE,2026-05,4503,-4412.144004463577,-0.9798232299497174,-8824.288008927155,-1.9596464598994348
MOM-01,CNYRUBF,STOP_0.5_TARGET_1.0,GROSS,2026-01,8141,-573.5186045517376,-0.07044817645887945,-1147.037209103475,-0.1408963529177589
MOM-01,CNYRUBF,STOP_0.5_TARGET_1.0,GROSS,2026-02,8053,-578.526287723687,-0.07183984697922352,-1157.052575447374,-0.14367969395844704
MOM-01,CNYRUBF,STOP_0.5_TARGET_1.0,GROSS,2026-03,9816,-510.2104496454301,-0.051977429670479844,-1020.4208992908602,-0.10395485934095969
MOM-01,CNYRUBF,STOP_0.5_TARGET_1.0,GROSS,2026-04,9970,-599.2273891685011,-0.060103048061033205,-1198.4547783370022,-0.12020609612206641
MOM-01,CNYRUBF,STOP_0.5_TARGET_1.0,GROSS,2026-05,4503,-330.32096107309155,-0.07335575418012248,-660.6419221461831,-0.14671150836024496
MOM-01,CNYRUBF,STOP_0.5_TARGET_1.0,STRESS,2026-01,8141,-11266.584573813816,-1.38393128286621,-22533.169147627632,-2.76786256573242
MOM-01,CNYRUBF,STOP_0.5_TARGET_1.0,STRESS,2026-02,8053,-12204.174105791106,-1.5154816969813865,-24408.34821158221,-3.030963393962773
MOM-01,CNYRUBF,STOP_0.5_TARGET_1.0,STRESS,2026-03,9816,-10614.107223138675,-1.0813067668234184,-21228.21444627735,-2.162613533646837
MOM-01,CNYRUBF,STOP_0.5_TARGET_1.0,STRESS,2026-04,9970,-14887.146205187459,-1.4931942031281302,-29774.292410374917,-2.9863884062562605
MOM-01,CNYRUBF,STOP_0.5_TARGET_1.0,STRESS,2026-05,4503,-8493.967047861313,-1.8862907057209224,-16987.934095722627,-3.772581411441845
MOM-01,CNYRUBF,STOP_0.5_TARGET_1.5,BASE,2026-01,7039,-4955.343031421343,-0.7039839510472145,-9910.686062842686,-1.407967902094429
MOM-01,CNYRUBF,STOP_0.5_TARGET_1.5,BASE,2026-02,6982,-5406.355528957033,-0.7743276323341497,-10812.711057914066,-1.5486552646682994
MOM-01,CNYRUBF,STOP_0.5_TARGET_1.5,BASE,2026-03,8521,-4558.788017843841,-0.5350062220213403,-9117.576035687682,-1.0700124440426806
