family,submodel,instrument,signal_time,direction,side,reference_level,stop_price,target_r,level_id,level_type,round_confluence,level_family_id,snapshot_version,historical,mirror,breakout_level_snapshot_id,smoke_name,BSU_time,BPU1_time,BPU2_time,level_tick,luft_price,local_trend,source_fidelity,or_high,or_low,or_mid,or_length,stop_mode,failed_excursion_low,failed_excursion_high,pullback_start,pullback_bars,ema_fast,ema_slow,extreme_time,reentry_time,band,rsi,bb_k,rsi_threshold,target_price,direction_cny,direction_si,z,entry_z,exit_z,beta,beta_at_entry,window,z_entry,feature_index,exit_feature_index,planned_exit_time,planned_exit_reason
STRUCTURAL,REJECTION,CNYRUBF,2026-01-12 16:55:00+03:00,-1.0,SHORT,11.2895,11.289,3.0,CNYRUBF-L0-V1,EH,False,CNYRUBF-L0,1.0,True,False,,STRUCTURAL REJECTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STRUCTURAL,SIMPLE_SWEEP,CNYRUBF,2026-01-12 16:50:00+03:00,-1.0,SHORT,11.2895,11.301,3.0,CNYRUBF-L0-V1,EH,False,CNYRUBF-L0,1.0,True,False,,STRUCTURAL SIMPLE_SWEEP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STRUCTURAL,COMPLEX_FALSE_BREAK,CNYRUBF,2026-01-13 09:40:00+03:00,-1.0,SHORT,11.289,11.304,3.0,CNYRUBF-L0-V4,MIRROR,False,CNYRUBF-L0,4.0,True,True,,STRUCTURAL COMPLEX_FALSE_BREAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STRUCTURAL,BREAKOUT_RETEST,CNYRUBF,2026-01-12 20:45:00+03:00,1.0,LONG,11.28875,11.289,3.0,CNYRUBF-L0-V3,EH,False,CNYRUBF-L0,3.0,True,False,CNYRUBF-L0-V3,STRUCTURAL BREAKOUT_RETEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STRUCTURAL,GERCHIK_A_M1_PROXY,CNYRUBF,2026-01-05 18:45:00+03:00,1.0,LONG,11.398,11.397,3.0,CNYRUBF-L6-V3,,,,,,,,GERCHIK_A_M1_PROXY,2026-01-05 11:50:00+03:00,2026-01-05 18:40:00+03:00,2026-01-05 18:45:00+03:00,11.398,0.001,LONG,PROXY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORB,DIRECT,CNYRUBF,2026-01-05 10:16:00+03:00,1.0,LONG,11.309,11.265,2.0,,,,,,,,,ORB DIRECT,,,,,,,,11.309,11.265,11.286999999999999,15.0,STOP_OPPOSITE_OR,,,,,,,,,,,,,,,,,,,,,,,,,,
ORB,BREAKOUT_RETEST,CNYRUBF,2026-01-05 10:17:00+03:00,1.0,LONG,11.309,11.308,2.0,,,,,,,,,ORB BREAKOUT_RETEST,,,,,,,,11.309,11.265,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORB,FAILED_BREAKOUT,CNYRUBF,2026-01-06 10:20:00+03:00,1.0,LONG,11.385,11.376000000000001,2.0,,,,,,,,,ORB FAILED_BREAKOUT,,,,,,,,11.464,11.385,,15.0,,11.377,11.391,,,,,,,,,,,,,,,,,,,,,,,,
TREND_PULLBACK,EMA20_50,CNYRUBF,2026-01-05 13:55:00+03:00,1.0,LONG,11.4034297602217,11.397,3.0,,,,,,,,,TREND_PULLBACK,,,,,,,,,,,,,,,2026-01-05 13:40:00+03:00,4.0,11.4034297602217,11.381329589300883,,,,,,,,,,,,,,,,,,,,
BOLLINGER_RSI,REENTRY_2R,CNYRUBF,2026-01-05 11:05:00+03:00,-1.0,SHORT,11.32545,11.427999999999999,2.0,,,,,,,,,BOLLINGER_RSI REENTRY_2R,,,,,,,,,,,,,,,,,,,2026-01-05 10:50:00+03:00,2026-01-05 11:05:00+03:00,11.382007771629546,84.80693811513794,2.0,30.0,,,,,,,,,,,,,,
BOLLINGER_RSI,REENTRY_FIXED_MID,CNYRUBF,2026-01-05 11:05:00+03:00,-1.0,SHORT,11.32545,11.427999999999999,,,,,,,,,,BOLLINGER_RSI REENTRY_FIXED_MID,,,,,,,,,,,,,,,,,,,2026-01-05 10:50:00+03:00,2026-01-05 11:05:00+03:00,11.382007771629546,84.80693811513794,2.0,30.0,11.32545,,,,,,,,,,,,,
PAIRS,DISTANCE,CNYRUBF+USDRUBF,2026-01-05 19:12:00+03:00,,,,,,,,,,,,,,PAIRS DISTANCE,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,-1.0,-2.27021254348028,-2.27021254348028,0.12248194652680863,1.0,1.0,480.0,2.0,581.0,589.0,2026-01-05 19:20:00+03:00,CONVERGENCE
PAIRS,OLS,CNYRUBF+USDRUBF,2026-01-05 19:12:00+03:00,,,,,,,,,,,,,,PAIRS OLS,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,-1.0,-2.106624580780616,-2.106624580780616,0.5531519804829766,0.9626599489321555,0.9626599489321555,480.0,2.0,581.0,589.0,2026-01-05 19:20:00+03:00,CONVERGENCE
