level_family_id,level_snapshot_id,snapshot_version,instrument,level_type,anchor_price,level_price,valid_from,valid_trading_date,first_touch,last_touch,touch_count,touch_times,tolerance_ticks,min_touches,round_confluence,historical,mirror,source_pivot_ids,source_sides,known_index,level_id,price,known_time
CNYRUBF-L11,CNYRUBF-L11-V1,1,CNYRUBF,EH,11.409,11.409,2026-01-05 13:45:00+03:00,2026-01-05,2026-01-05 13:20:00+03:00,2026-01-05 13:35:00+03:00,2,2026-01-05 13:20:00+03:00|2026-01-05 13:35:00+03:00,2,2,False,False,False,11|12,HIGH|HIGH,56,CNYRUBF-L11-V1,11.409,2026-01-05 13:45:00+03:00
CNYRUBF-L5,CNYRUBF-L5-V1,1,CNYRUBF,EL,11.397,11.398,2026-01-05 13:55:00+03:00,2026-01-05,2026-01-05 11:45:00+03:00,2026-01-05 13:45:00+03:00,2,2026-01-05 11:45:00+03:00|2026-01-05 13:45:00+03:00,2,2,False,False,False,5|13,LOW|LOW,58,CNYRUBF-L5-V1,11.398,2026-01-05 13:55:00+03:00
CNYRUBF-L11,CNYRUBF-L11-V2,2,CNYRUBF,EH,11.409,11.409,2026-01-05 14:20:00+03:00,2026-01-05,2026-01-05 13:20:00+03:00,2026-01-05 14:10:00+03:00,3,2026-01-05 13:20:00+03:00|2026-01-05 13:35:00+03:00|2026-01-05 14:10:00+03:00,2,2,False,False,False,11|12|14,HIGH|HIGH|HIGH,62,CNYRUBF-L11-V2,11.409,2026-01-05 14:20:00+03:00
CNYRUBF-L11,CNYRUBF-L11-V3,3,CNYRUBF,EH,11.409,11.409,2026-01-05 14:45:00+03:00,2026-01-05,2026-01-05 13:20:00+03:00,2026-01-05 14:35:00+03:00,4,2026-01-05 13:20:00+03:00|2026-01-05 13:35:00+03:00|2026-01-05 14:10:00+03:00|2026-01-05 14:35:00+03:00,2,2,False,False,False,11|12|14|16,HIGH|HIGH|HIGH|HIGH,67,CNYRUBF-L11-V3,11.409,2026-01-05 14:45:00+03:00
CNYRUBF-L5,CNYRUBF-L5-V2,2,CNYRUBF,MIRROR,11.397,11.397,2026-01-05 15:15:00+03:00,2026-01-05,2026-01-05 11:45:00+03:00,2026-01-05 15:05:00+03:00,3,2026-01-05 11:45:00+03:00|2026-01-05 13:45:00+03:00|2026-01-05 15:05:00+03:00,2,2,False,False,True,5|13|18,LOW|LOW|HIGH,73,CNYRUBF-L5-V2,11.397,2026-01-05 15:15:00+03:00
CNYRUBF-L11,CNYRUBF-L11-V4,4,CNYRUBF,EH,11.409,11.409,2026-01-05 16:05:00+03:00,2026-01-05,2026-01-05 13:20:00+03:00,2026-01-05 15:50:00+03:00,5,2026-01-05 13:20:00+03:00|2026-01-05 13:35:00+03:00|2026-01-05 14:10:00+03:00|2026-01-05 14:35:00+03:00|2026-01-05 15:50:00+03:00,2,2,False,False,False,11|12|14|16|19,HIGH|HIGH|HIGH|HIGH|HIGH,82,CNYRUBF-L11-V4,11.409,2026-01-05 16:05:00+03:00
CNYRUBF-L5,CNYRUBF-L5-V3,3,CNYRUBF,MIRROR,11.397,11.398,2026-01-05 16:35:00+03:00,2026-01-05,2026-01-05 11:45:00+03:00,2026-01-05 16:25:00+03:00,4,2026-01-05 11:45:00+03:00|2026-01-05 13:45:00+03:00|2026-01-05 15:05:00+03:00|2026-01-05 16:25:00+03:00,2,2,False,False,True,5|13|18|22,LOW|LOW|HIGH|LOW,88,CNYRUBF-L5-V3,11.398,2026-01-05 16:35:00+03:00
CNYRUBF-L15,CNYRUBF-L15-V1,1,CNYRUBF,EH,11.407,11.407,2026-01-05 17:00:00+03:00,2026-01-05,2026-01-05 16:15:00+03:00,2026-01-05 16:50:00+03:00,2,2026-01-05 16:15:00+03:00|2026-01-05 16:50:00+03:00,2,2,False,False,False,21|23,HIGH|HIGH,92,CNYRUBF-L15-V1,11.407,2026-01-05 17:00:00+03:00
CNYRUBF-L5,CNYRUBF-L5-V4,4,CNYRUBF,MIRROR,11.397,11.398,2026-01-05 17:05:00+03:00,2026-01-05,2026-01-05 11:45:00+03:00,2026-01-05 16:55:00+03:00,5,2026-01-05 11:45:00+03:00|2026-01-05 13:45:00+03:00|2026-01-05 15:05:00+03:00|2026-01-05 16:25:00+03:00|2026-01-05 16:55:00+03:00,2,2,False,False,True,5|13|18|22|24,LOW|LOW|HIGH|LOW|LOW,93,CNYRUBF-L5-V4,11.398,2026-01-05 17:05:00+03:00
CNYRUBF-L14,CNYRUBF-L14-V1,1,CNYRUBF,EL,11.395,11.395,2026-01-05 17:30:00+03:00,2026-01-05,2026-01-05 16:05:00+03:00,2026-01-05 17:20:00+03:00,2,2026-01-05 16:05:00+03:00|2026-01-05 17:20:00+03:00,2,2,False,False,False,20|26,LOW|LOW,98,CNYRUBF-L14-V1,11.395,2026-01-05 17:30:00+03:00
CNYRUBF-L16,CNYRUBF-L16-V1,1,CNYRUBF,EH,11.404,11.404,2026-01-05 17:45:00+03:00,2026-01-05,2026-01-05 17:10:00+03:00,2026-01-05 17:35:00+03:00,2,2026-01-05 17:10:00+03:00|2026-01-05 17:35:00+03:00,2,2,False,False,False,25|27,HIGH|HIGH,101,CNYRUBF-L16-V1,11.404,2026-01-05 17:45:00+03:00
